Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 72.55122088127982, 75.36834151870042, 85.95433003015941, 85.95433003015941, 47.50402576489533, 64.41048034934498, 80.31400966183575, 64.41048034934498, 47.50402576489533, 47.50402576489533, 85.95433003015941, 75.36834151870042, 54.6802594995366, 81.72888015717092, 78.52028639618139, 99.09638554216868, 99.09638554216868, 49.152542372881356, 96.66666666666667, 87.61651131824235, 96.66666666666667, 49.152542372881356, 49.152542372881356, 99.09638554216868, 78.52028639618139, 65.1685393258427, 
2, 81.67274768453551, 83.8748984565394, 88.97027143472641, 88.97027143472641, 68.0354267310789, 76.74841053587647, 86.34748066067321, 76.74841053587647, 68.0354267310789, 68.0354267310789, 88.97027143472641, 83.8748984565394, 72.1297481860862, 85.0687622789784, 84.5945945945946, 94.27710843373494, 94.27710843373494, 67.79661016949153, 86.33093525179856, 89.17378917378916, 86.33093525179856, 67.79661016949153, 67.79661016949153, 94.27710843373494, 84.5945945945946, 75.9493670886076, 
3, 84.7880999158013, 86.26172034243783, 91.1676001723395, 91.1676001723395, 72.86634460547504, 81.53153153153153, 88.6468370339338, 81.53153153153153, 72.86634460547504, 72.86634460547504, 91.1676001723395, 86.26172034243783, 76.95578231292517, 88.8015717092338, 88.51540616246498, 95.18072289156626, 95.18072289156626, 76.8361581920904, 89.47368421052632, 91.72714078374456, 89.47368421052632, 76.8361581920904, 76.8361581920904, 95.18072289156626, 88.51540616246498, 82.67477203647415, 
4, 85.12489475161381, 87.54716981132076, 89.9612236105127, 89.9612236105127, 76.08695652173913, 80.22071307300509, 88.73778155546111, 80.22071307300509, 76.08695652173913, 76.08695652173913, 89.9612236105127, 87.54716981132076, 78.099173553719, 88.60510805500982, 88.05555555555556, 95.48192771084338, 95.48192771084338, 75.70621468926554, 89.93288590604027, 91.61849710982659, 89.93288590604027, 75.70621468926554, 75.70621468926554, 95.48192771084338, 88.05555555555556, 82.20858895705521, 
5, 85.54588829637946, 87.31404958677686, 91.03834554071521, 91.03834554071521, 75.2818035426731, 81.80227471566054, 89.13731280320609, 81.80227471566054, 75.2818035426731, 75.2818035426731, 91.03834554071521, 87.31404958677686, 78.40670859538784, 90.17681728880157, 91.71597633136095, 93.37349397590361, 93.37349397590361, 84.18079096045197, 87.13450292397661, 92.53731343283582, 87.13450292397661, 84.18079096045197, 84.18079096045197, 93.37349397590361, 91.71597633136095, 85.63218390804596, 
6, 86.55627280381701, 88.15244407622204, 91.68461869883672, 91.68461869883672, 76.97262479871175, 83.20278503046127, 89.88384371700107, 83.20278503046127, 76.97262479871175, 76.97262479871175, 91.68461869883672, 88.15244407622204, 79.96654119615224, 87.62278978388997, 91.90031152647975, 88.855421686747, 88.855421686747, 85.31073446327683, 80.31914893617021, 90.35222052067381, 80.31914893617021, 85.31073446327683, 85.31073446327683, 88.855421686747, 91.90031152647975, 82.73972602739724, 
7, 86.94920011226495, 89.22231614539307, 90.95217578629901, 90.95217578629901, 79.46859903381643, 82.45614035087719, 90.07894175378708, 82.45614035087719, 79.46859903381643, 79.46859903381643, 90.95217578629901, 89.22231614539307, 80.9348093480935, 88.21218074656188, 87.1584699453552, 96.08433734939759, 96.08433734939759, 73.44632768361582, 90.9090909090909, 91.40401146131805, 90.9090909090909, 73.44632768361582, 73.44632768361582, 96.08433734939759, 87.1584699453552, 81.25, 
8, 88.35251192815043, 89.84113712374582, 92.5894011202068, 92.5894011202068, 80.43478260869566, 85.31169940222033, 91.19456821557395, 85.31169940222033, 80.43478260869566, 80.43478260869566, 92.5894011202068, 89.84113712374582, 82.80149191877332, 89.19449901768172, 87.33153638814017, 97.59036144578313, 97.59036144578313, 73.44632768361582, 94.20289855072464, 92.17638691322902, 94.20289855072464, 73.44632768361582, 73.44632768361582, 97.59036144578313, 87.33153638814017, 82.53968253968254, 
9, 87.48245860230142, 89.27524088814411, 91.813873330461, 91.813873330461, 79.38808373590982, 83.84353741496598, 90.5267629566695, 83.84353741496598, 79.38808373590982, 79.38808373590982, 91.813873330461, 89.27524088814411, 81.55500413564928, 87.62278978388997, 86.05898123324397, 96.6867469879518, 96.6867469879518, 70.62146892655367, 91.91176470588235, 91.06382978723406, 91.91176470588235, 70.62146892655367, 70.62146892655367, 96.6867469879518, 86.05898123324397, 79.87220447284346, 
10, 88.8296379455515, 90.34830046160302, 92.76174062903921, 92.76174062903921, 81.48148148148148, 85.76271186440678, 91.53911564625851, 85.76271186440678, 81.48148148148148, 81.48148148148148, 92.76174062903921, 90.34830046160302, 83.56729975227086, 90.17681728880157, 89.3854748603352, 96.3855421686747, 96.3855421686747, 78.53107344632768, 92.05298013245033, 92.75362318840578, 92.05298013245033, 78.53107344632768, 78.53107344632768, 96.3855421686747, 89.3854748603352, 84.75609756097562, 
