Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 77.0979511647488, 78.90895121014215, 88.4963377854373, 88.4963377854373, 55.79710144927536, 72.1875, 83.4281072298944, 72.1875, 55.79710144927536, 55.79710144927536, 88.4963377854373, 78.90895121014215, 62.94277929155313, 86.05108055009823, 84.61538461538461, 96.08433734939759, 96.08433734939759, 67.2316384180791, 90.15151515151516, 89.98589562764455, 90.15151515151516, 67.2316384180791, 67.2316384180791, 96.08433734939759, 84.61538461538461, 77.02265372168286, 
2, 82.57086724670222, 84.60912052117264, 89.53037483843171, 89.53037483843171, 69.56521739130434, 78.04878048780488, 87.00020933640361, 78.04878048780488, 69.56521739130434, 69.56521739130434, 89.53037483843171, 84.60912052117264, 73.56321839080461, 88.60510805500982, 91.26506024096386, 91.26506024096386, 91.26506024096386, 83.61581920903954, 83.61581920903954, 91.26506024096386, 83.61581920903954, 83.61581920903954, 83.61581920903954, 91.26506024096386, 91.26506024096386, 83.61581920903954, 
3, 83.58125175413977, 85.1417004048583, 90.6074967686342, 90.6074967686342, 70.45088566827697, 80.05489478499543, 87.78960551033187, 80.05489478499543, 70.45088566827697, 70.45088566827697, 90.6074967686342, 85.1417004048583, 74.94646680942184, 88.21218074656188, 87.98882681564245, 94.87951807228916, 94.87951807228916, 75.70621468926554, 88.74172185430463, 91.30434782608695, 88.74172185430463, 75.70621468926554, 75.70621468926554, 94.87951807228916, 87.98882681564245, 81.70731707317074, 
4, 84.816166152119, 86.20829943043124, 91.29685480396381, 91.29685480396381, 72.70531400966183, 81.71945701357465, 88.67964009206946, 81.71945701357465, 72.70531400966183, 72.70531400966183, 91.29685480396381, 86.20829943043124, 76.94929697486154, 88.60510805500982, 87.63736263736264, 96.08433734939759, 96.08433734939759, 74.57627118644068, 91.03448275862068, 91.66666666666667, 91.03448275862068, 74.57627118644068, 74.57627118644068, 96.08433734939759, 87.63736263736264, 81.98757763975155, 
5, 85.71428571428571, 87.62458471760797, 90.9090909090909, 90.9090909090909, 76.00644122383252, 81.73160173160173, 89.23662507929795, 81.73160173160173, 76.00644122383252, 76.00644122383252, 90.9090909090909, 87.62458471760797, 78.7651230705048, 88.8015717092338, 88.3008356545961, 95.48192771084338, 95.48192771084338, 76.27118644067797, 90.0, 91.75108538350219, 90.0, 76.27118644067797, 76.27118644067797, 95.48192771084338, 88.3008356545961, 82.56880733944953, 
6, 86.35980914959303, 88.5342293154137, 90.8229211546747, 90.8229211546747, 78.01932367149759, 81.97969543147208, 89.66397277754147, 81.97969543147208, 78.01932367149759, 78.01932367149759, 90.8229211546747, 88.5342293154137, 79.95049504950495, 89.58742632612967, 94.85530546623794, 88.855421686747, 88.855421686747, 90.96045197740114, 81.31313131313131, 91.75738724727837, 81.31313131313131, 90.96045197740114, 90.96045197740114, 88.855421686747, 94.85530546623794, 85.86666666666667, 
7, 86.89306763962954, 88.27415359207266, 92.11546747091771, 92.11546747091771, 77.13365539452496, 83.96143733567047, 90.1539110267763, 83.96143733567047, 77.13365539452496, 77.13365539452496, 92.11546747091771, 88.27415359207266, 80.40285354595049, 88.99803536345776, 91.31736526946108, 91.86746987951807, 91.86746987951807, 83.61581920903954, 84.57142857142857, 91.5915915915916, 84.57142857142857, 83.61581920903954, 83.61581920903954, 91.86746987951807, 91.31736526946108, 84.09090909090908, 
8, 88.04378332865562, 89.42987931751976, 92.5894011202068, 92.5894011202068, 79.54911433172303, 85.17241379310344, 90.98221845893309, 85.17241379310344, 79.54911433172303, 79.54911433172303, 92.5894011202068, 89.42987931751976, 82.26477935054122, 89.58742632612967, 92.14501510574019, 91.86746987951807, 91.86746987951807, 85.31073446327683, 84.8314606741573, 92.00603318250377, 84.8314606741573, 85.31073446327683, 85.31073446327683, 91.86746987951807, 92.14501510574019, 85.07042253521125, 
9, 88.74543923659837, 89.53871499176277, 93.66652305040931, 93.66652305040931, 79.54911433172303, 87.04845814977973, 91.55611707727942, 87.04845814977973, 79.54911433172303, 79.54911433172303, 93.66652305040931, 89.53871499176277, 83.1299957930164, 88.99803536345776, 88.76404494382022, 95.18072289156626, 95.18072289156626, 77.40112994350282, 89.54248366013071, 91.86046511627907, 89.54248366013071, 77.40112994350282, 77.40112994350282, 95.18072289156626, 88.76404494382022, 83.03030303030303, 
10, 89.1103003087286, 90.422417398578, 93.1495045239121, 93.1495045239121, 81.56199677938808, 86.4334470989761, 91.76570458404075, 86.4334470989761, 81.56199677938808, 81.56199677938808, 93.1495045239121, 90.422417398578, 83.92709196354599, 89.78388998035363, 92.16867469879519, 92.16867469879519, 92.16867469879519, 85.31073446327683, 85.31073446327683, 92.16867469879519, 85.31073446327683, 85.31073446327683, 85.31073446327683, 92.16867469879519, 92.16867469879519, 85.31073446327683, 
