Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 83.60931799045747, 86.11226611226611, 89.22878069797501, 89.22878069797501, 73.10789049919485, 78.41105354058722, 87.64282691493864, 78.41105354058722, 73.10789049919485, 73.10789049919485, 89.22878069797501, 86.11226611226611, 75.66666666666666, 85.6581532416503, 95.75971731448763, 81.62650602409639, 81.62650602409639, 93.22033898305085, 73.00884955752213, 88.13008130081302, 73.00884955752213, 93.22033898305085, 93.22033898305085, 81.62650602409639, 95.75971731448763, 81.88585607940448, 
2, 89.16643278136402, 90.60008392782207, 93.02024989228781, 93.02024989228781, 81.9645732689211, 86.27118644067797, 91.79421768707482, 86.27118644067797, 81.9645732689211, 81.9645732689211, 93.02024989228781, 90.60008392782207, 84.06275805119736, 90.96267190569745, 89.94413407821229, 96.98795180722891, 96.98795180722891, 79.66101694915254, 93.37748344370861, 93.33333333333333, 93.37748344370861, 79.66101694915254, 79.66101694915254, 96.98795180722891, 89.94413407821229, 85.97560975609755, 
3, 90.2610159977547, 91.54040404040404, 93.70960792761741, 93.70960792761741, 83.81642512077295, 87.70008424599831, 92.61230572705983, 87.70008424599831, 83.81642512077295, 83.81642512077295, 93.70960792761741, 91.54040404040404, 85.71428571428572, 92.14145383104125, 94.24242424242425, 93.67469879518072, 93.67469879518072, 89.26553672316385, 88.26815642458101, 93.95770392749245, 88.26815642458101, 89.26553672316385, 89.26553672316385, 93.67469879518072, 94.24242424242425, 88.76404494382022, 
4, 90.87847319674431, 92.50425894378195, 93.5803532959931, 93.5803532959931, 85.829307568438, 87.73662551440329, 93.0391946883701, 87.73662551440329, 85.829307568438, 85.829307568438, 93.5803532959931, 92.50425894378195, 86.77248677248677, 88.21218074656188, 86.55913978494624, 96.98795180722891, 96.98795180722891, 71.75141242937853, 92.7007299270073, 91.47727272727273, 92.7007299270073, 71.75141242937853, 71.75141242937853, 96.98795180722891, 86.55913978494624, 80.89171974522293, 
5, 91.04687061465057, 92.37933954276038, 94.01120206807411, 94.01120206807411, 85.5072463768116, 88.4263114071607, 93.18812726884475, 88.4263114071607, 85.5072463768116, 85.5072463768116, 94.01120206807411, 92.37933954276038, 86.94228407695456, 88.40864440078585, 85.63968668407311, 98.79518072289157, 98.79518072289157, 68.92655367231639, 96.82539682539682, 91.74825174825175, 96.82539682539682, 68.92655367231639, 68.92655367231639, 98.79518072289157, 85.63968668407311, 80.52805280528052, 
6, 90.71007577883806, 92.12531752751906, 93.7526928048255, 93.7526928048255, 85.02415458937197, 87.92672772689426, 92.93188127268844, 87.92672772689426, 85.02415458937197, 85.02415458937197, 93.7526928048255, 92.12531752751906, 86.45108473188702, 91.15913555992141, 89.97214484679665, 97.28915662650603, 97.28915662650603, 79.66101694915254, 94.0, 93.4876989869754, 94.0, 79.66101694915254, 79.66101694915254, 97.28915662650603, 89.97214484679665, 86.23853211009174, 
7, 90.96267190569745, 92.4056003394145, 93.8388625592417, 93.8388625592417, 85.5877616747182, 88.14262023217248, 93.11671654553227, 88.14262023217248, 85.5877616747182, 85.5877616747182, 93.8388625592417, 92.4056003394145, 86.84640522875817, 89.78388998035363, 93.20987654320987, 90.96385542168674, 90.96385542168674, 87.57062146892656, 83.78378378378379, 92.07317073170732, 83.78378378378379, 87.57062146892656, 87.57062146892656, 90.96385542168674, 93.20987654320987, 85.6353591160221, 
8, 90.71007577883806, 92.12531752751906, 93.7526928048255, 93.7526928048255, 85.02415458937197, 87.92672772689426, 92.93188127268844, 87.92672772689426, 85.02415458937197, 85.02415458937197, 93.7526928048255, 92.12531752751906, 86.45108473188702, 88.01571709233792, 97.87985865724382, 83.43373493975903, 83.43373493975903, 96.61016949152543, 75.66371681415929, 90.08130081300811, 75.66371681415929, 96.61016949152543, 96.61016949152543, 83.43373493975903, 97.87985865724382, 84.863523573201, 
9, 90.34521470670784, 91.62105263157895, 93.7526928048255, 93.7526928048255, 83.97745571658615, 87.79461279461279, 92.67461669505963, 87.79461279461279, 83.97745571658615, 83.97745571658615, 93.7526928048255, 91.62105263157895, 85.84362139917695, 92.14145383104125, 95.625, 92.16867469879519, 92.16867469879519, 92.090395480226, 86.24338624338624, 93.86503067484662, 86.24338624338624, 92.090395480226, 92.090395480226, 92.16867469879519, 95.625, 89.07103825136613, 
10, 91.01880437833286, 92.23300970873787, 94.1404566996984, 94.1404566996984, 85.18518518518519, 88.60971524288107, 93.1769722814499, 88.60971524288107, 85.18518518518519, 85.18518518518519, 94.1404566996984, 92.23300970873787, 86.86371100164205, 90.76620825147347, 92.28486646884274, 93.67469879518072, 93.67469879518072, 85.31073446327683, 87.79069767441861, 92.9745889387145, 87.79069767441861, 85.31073446327683, 85.31073446327683, 93.67469879518072, 92.28486646884274, 86.53295128939827, 
11, 91.29946674150996, 92.47993240388678, 94.31279620853081, 94.31279620853081, 85.6682769726248, 88.96321070234114, 93.38737201365188, 88.96321070234114, 85.6682769726248, 85.6682769726248, 94.31279620853081, 92.47993240388678, 87.28465955701394, 89.3909626719057, 92.63803680981596, 90.96385542168674, 90.96385542168674, 86.44067796610169, 83.60655737704919, 91.79331306990882, 83.60655737704919, 86.44067796610169, 86.44067796610169, 90.96385542168674, 92.63803680981596, 85.0, 
12, 90.51361212461408, 91.60721779269828, 94.0542869452822, 94.0542869452822, 83.89694041867955, 88.30508474576271, 92.81462585034014, 88.30508474576271, 83.89694041867955, 83.89694041867955, 94.0542869452822, 91.60721779269828, 86.04459124690338, 89.58742632612967, 91.15044247787611, 93.07228915662651, 93.07228915662651, 83.05084745762711, 86.47058823529412, 92.10134128166916, 86.47058823529412, 83.05084745762711, 83.05084745762711, 93.07228915662651, 91.15044247787611, 84.72622478386168, 
13, 90.68200954252035, 91.59347553324969, 94.3558810857389, 94.3558810857389, 83.81642512077295, 88.82252559726962, 92.95415959252972, 88.82252559726962, 83.81642512077295, 83.81642512077295, 94.3558810857389, 91.59347553324969, 86.24689312344655, 89.58742632612967, 93.18885448916409, 90.66265060240964, 90.66265060240964, 87.57062146892656, 83.33333333333333, 91.90839694656489, 83.33333333333333, 87.57062146892656, 87.57062146892656, 90.66265060240964, 93.18885448916409, 85.39944903581267, 
14, 90.8223407241089, 92.17428087986464, 93.8819474364498, 93.8819474364498, 85.10466988727859, 88.15679733110926, 93.02027748132338, 88.15679733110926, 85.10466988727859, 85.10466988727859, 93.8819474364498, 92.17428087986464, 86.60385088078655, 88.60510805500982, 93.91025641025641, 88.25301204819277, 88.25301204819277, 89.26553672316385, 80.20304568527919, 90.99378881987577, 80.20304568527919, 89.26553672316385, 89.26553672316385, 88.25301204819277, 93.91025641025641, 84.49197860962569, 
15, 90.34521470670784, 91.90334887664264, 93.40801378716071, 93.40801378716071, 84.62157809983897, 87.29235880398672, 92.64957264957266, 87.29235880398672, 84.62157809983897, 84.62157809983897, 93.40801378716071, 91.90334887664264, 85.93622240392477, 91.35559921414537, 92.3529411764706, 94.57831325301204, 94.57831325301204, 85.31073446327683, 89.3491124260355, 93.45238095238095, 89.3491124260355, 85.31073446327683, 85.31073446327683, 94.57831325301204, 92.3529411764706, 87.28323699421965, 
16, 91.13106932360371, 92.35318969159273, 94.1835415769065, 94.1835415769065, 85.426731078905, 88.7123745819398, 93.25938566552901, 88.7123745819398, 85.426731078905, 85.426731078905, 94.1835415769065, 92.35318969159273, 87.03855619360132, 90.37328094302553, 91.49560117302053, 93.97590361445783, 93.97590361445783, 83.61581920903954, 88.0952380952381, 92.71916790490341, 88.0952380952381, 83.61581920903954, 83.61581920903954, 93.97590361445783, 91.49560117302053, 85.79710144927536, 
17, 91.24333426887455, 92.43768483312209, 94.26971133132271, 94.26971133132271, 85.5877616747182, 88.87959866220736, 93.34470989761093, 88.87959866220736, 85.5877616747182, 85.5877616747182, 94.26971133132271, 92.43768483312209, 87.20262510254308, 87.42632612966601, 91.875, 88.55421686746988, 88.55421686746988, 85.31073446327683, 79.8941798941799, 90.1840490797546, 79.8941798941799, 85.31073446327683, 85.31073446327683, 88.55421686746988, 91.875, 82.5136612021858, 
