Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 79.85955056179776, 82.57177517185605, 87.7147766323024, 87.7147766323024, 65.01623376623377, 73.68905243790249, 85.06561133097273, 73.68905243790249, 65.01623376623377, 65.01623376623377, 87.7147766323024, 82.57177517185605, 69.08150064683053, 89.56692913385827, 91.89189189189189, 92.16867469879519, 92.16867469879519, 84.6590909090909, 85.14285714285714, 92.03007518796993, 85.14285714285714, 84.6590909090909, 84.6590909090909, 92.16867469879519, 91.89189189189189, 84.9002849002849, 
2, 85.08426966292136, 87.30355665839537, 90.406852248394, 90.406852248394, 74.93877551020408, 80.38528896672504, 88.82810856301283, 80.38528896672504, 74.93877551020408, 74.93877551020408, 90.406852248394, 87.30355665839537, 77.56653992395437, 91.14173228346458, 93.61702127659575, 92.7710843373494, 92.7710843373494, 88.06818181818181, 86.59217877094972, 93.19213313161876, 86.59217877094972, 88.06818181818181, 88.06818181818181, 92.7710843373494, 93.61702127659575, 87.32394366197182, 
3, 86.06741573033709, 87.40190004130524, 91.7208495882098, 91.7208495882098, 75.65841979249801, 83.23090430201931, 89.5093062605753, 83.23090430201931, 75.65841979249801, 75.65841979249801, 91.7208495882098, 87.40190004130524, 79.26421404682274, 91.53543307086615, 93.3933933933934, 93.67469879518072, 93.67469879518072, 87.5, 88.0, 93.53383458646616, 88.0, 87.5, 87.5, 93.67469879518072, 93.3933933933934, 87.74928774928775, 
4, 87.41573033707866, 89.06510851419031, 91.98275862068965, 91.98275862068965, 78.87096774193549, 84.02061855670104, 90.50042408821035, 84.02061855670104, 78.87096774193549, 78.87096774193549, 91.98275862068965, 89.06510851419031, 81.36439267886857, 88.38582677165354, 96.90721649484536, 84.93975903614458, 84.93975903614458, 94.88636363636364, 76.95852534562212, 90.52969502407706, 76.95852534562212, 94.88636363636364, 94.88636363636364, 84.93975903614458, 96.90721649484536, 84.98727735368956, 
5, 87.8932584269663, 89.469250210615, 92.14750542299349, 92.14750542299349, 80.0796812749004, 84.73861720067454, 90.78863004915581, 84.73861720067454, 80.0796812749004, 80.0796812749004, 92.14750542299349, 89.469250210615, 82.34330192544039, 90.94488188976378, 89.07103825136612, 98.19277108433735, 98.19277108433735, 77.27272727272727, 95.77464788732394, 93.40974212034384, 95.77464788732394, 77.27272727272727, 77.27272727272727, 98.19277108433735, 89.07103825136612, 85.53459119496856, 
6, 87.4438202247191, 88.83817427385893, 92.32427770590772, 92.32427770590772, 78.32393231265108, 84.52173913043478, 90.54768449989427, 84.52173913043478, 78.32393231265108, 78.32393231265108, 92.32427770590772, 88.83817427385893, 81.30489335006273, 92.51968503937007, 92.98245614035088, 95.78313253012048, 95.78313253012048, 86.36363636363636, 91.56626506024097, 94.3620178041543, 91.56626506024097, 86.36363636363636, 86.36363636363636, 95.78313253012048, 92.98245614035088, 88.8888888888889, 
7, 87.6123595505618, 89.42749686585876, 91.92439862542955, 91.92439862542955, 79.46428571428571, 83.89031705227077, 90.65875873755559, 83.89031705227077, 79.46428571428571, 79.46428571428571, 91.92439862542955, 89.42749686585876, 81.61734055856606, 88.58267716535433, 91.26506024096386, 91.26506024096386, 91.26506024096386, 83.52272727272727, 83.52272727272727, 91.26506024096386, 83.52272727272727, 83.52272727272727, 83.52272727272727, 91.26506024096386, 91.26506024096386, 83.52272727272727, 
8, 89.24157303370787, 90.35893155258765, 93.43979283556322, 93.43979283556322, 81.41592920353982, 86.94158075601375, 91.87354126883089, 86.94158075601375, 81.41592920353982, 81.41592920353982, 93.43979283556322, 90.35893155258765, 84.08807644370586, 86.61417322834646, 98.88888888888889, 80.42168674698796, 80.42168674698796, 98.29545454545455, 72.6890756302521, 88.70431893687709, 72.6890756302521, 98.29545454545455, 98.29545454545455, 80.42168674698796, 98.88888888888889, 83.57487922705316, 
9, 88.59550561797754, 90.418410041841, 92.42942686056459, 92.42942686056459, 81.26022913256956, 84.87179487179488, 91.41285956006769, 84.87179487179488, 81.26022913256956, 81.26022913256956, 92.42942686056459, 90.418410041841, 83.02675585284281, 90.74803149606299, 93.57798165137615, 92.16867469879519, 92.16867469879519, 88.06818181818181, 85.6353591160221, 92.8679817905918, 85.6353591160221, 88.06818181818181, 88.06818181818181, 92.16867469879519, 93.57798165137615, 86.83473389355743, 
10, 89.46629213483146, 90.87468460891506, 93.1867184131091, 93.1867184131091, 82.51410153102337, 86.63282571912013, 92.0161805407707, 86.63282571912013, 82.51410153102337, 82.51410153102337, 93.1867184131091, 90.87468460891506, 84.5233182005778, 91.14173228346458, 97.04918032786885, 89.1566265060241, 89.1566265060241, 94.88636363636364, 82.26600985221675, 92.93563579277865, 82.26600985221675, 94.88636363636364, 94.88636363636364, 89.1566265060241, 97.04918032786885, 88.12664907651715, 
11, 89.24157303370787, 90.67335842743621, 93.12714776632302, 93.12714776632302, 81.89935064935065, 86.3130881094953, 91.88387370205551, 86.3130881094953, 81.89935064935065, 81.89935064935065, 93.12714776632302, 90.67335842743621, 84.04831320283215, 91.92913385826772, 92.17391304347827, 95.78313253012048, 95.78313253012048, 84.6590909090909, 91.41104294478528, 93.94387001477106, 91.41104294478528, 84.6590909090909, 84.6590909090909, 95.78313253012048, 92.17391304347827, 87.90560471976401, 
12, 89.35393258426966, 90.65772936740679, 93.27586206896552, 93.27586206896552, 82.01612903225806, 86.70076726342711, 91.94816231145103, 86.70076726342711, 82.01612903225806, 82.01612903225806, 93.27586206896552, 90.65772936740679, 84.29341069208455, 91.73228346456693, 95.88607594936708, 91.26506024096386, 91.26506024096386, 92.61363636363636, 84.89583333333333, 93.5185185185185, 84.89583333333333, 92.61363636363636, 92.61363636363636, 91.26506024096386, 95.88607594936708, 88.58695652173913, 
13, 89.66292134831461, 91.03734439834025, 93.52088661551578, 93.52088661551578, 82.20757825370676, 86.78260869565217, 92.26240538267452, 86.78260869565217, 82.20757825370676, 82.20757825370676, 93.52088661551578, 91.03734439834025, 84.43316412859559, 90.35433070866141, 88.98071625344353, 97.28915662650603, 97.28915662650603, 77.27272727272727, 93.79310344827586, 92.9496402877698, 93.79310344827586, 77.27272727272727, 77.27272727272727, 97.28915662650603, 88.98071625344353, 84.73520249221184, 
14, 90.0561797752809, 91.38655462184875, 93.58864027538726, 93.58864027538726, 83.41423948220064, 87.37288135593221, 92.47448979591836, 87.37288135593221, 83.41423948220064, 83.41423948220064, 93.58864027538726, 91.38655462184875, 85.3476821192053, 90.15748031496062, 94.62025316455696, 90.06024096385542, 90.06024096385542, 90.3409090909091, 82.8125, 92.28395061728396, 82.8125, 90.3409090909091, 90.3409090909091, 90.06024096385542, 94.62025316455696, 86.41304347826087, 
