Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 81.76966292134831, 84.21484214842148, 88.61087144089733, 88.61087144089733, 69.00161030595814, 76.44959857270294, 86.35694765608578, 76.44959857270294, 69.00161030595814, 69.00161030595814, 88.61087144089733, 84.21484214842148, 72.5349132458739, 87.99212598425197, 95.9322033898305, 85.24096385542168, 85.24096385542168, 93.18181818181819, 76.99530516431925, 90.27113237639554, 76.99530516431925, 93.18181818181819, 93.18181818181819, 85.24096385542168, 95.9322033898305, 84.31876606683805, 
2, 87.30337078651685, 88.87963348604748, 92.02242345838724, 92.02242345838724, 78.48509266720387, 84.03796376186368, 90.42372881355932, 84.03796376186368, 78.48509266720387, 78.48509266720387, 92.02242345838724, 88.87963348604748, 81.16666666666667, 88.9763779527559, 86.70212765957447, 98.19277108433735, 98.19277108433735, 71.5909090909091, 95.45454545454545, 92.090395480226, 95.45454545454545, 71.5909090909091, 71.5909090909091, 98.19277108433735, 86.70212765957447, 81.81818181818183, 
3, 87.80898876404495, 89.35281837160751, 92.28115567054765, 92.28115567054765, 79.45205479452055, 84.63519313304721, 90.79338141705557, 84.63519313304721, 79.45205479452055, 79.45205479452055, 92.28115567054765, 89.35281837160751, 81.96176226101414, 89.76377952755905, 96.05263157894737, 87.95180722891567, 87.95180722891567, 93.18181818181819, 80.3921568627451, 91.82389937106919, 80.3921568627451, 93.18181818181819, 93.18181818181819, 87.95180722891567, 96.05263157894737, 86.31578947368422, 
4, 88.51123595505618, 90.05872483221476, 92.58300991806813, 92.58300991806813, 80.90249798549557, 85.37414965986395, 91.3034233467999, 85.37414965986395, 80.90249798549557, 80.90249798549557, 92.58300991806813, 90.05872483221476, 83.07819611088124, 90.5511811023622, 91.76470588235294, 93.97590361445783, 93.97590361445783, 84.0909090909091, 88.0952380952381, 92.85714285714286, 88.0952380952381, 84.0909090909091, 84.0909090909091, 93.97590361445783, 91.76470588235294, 86.04651162790698, 
5, 89.26966292134831, 90.53601340033501, 93.27006039689387, 93.27006039689387, 81.80354267310788, 86.68941979522184, 91.8827029324267, 86.68941979522184, 81.80354267310788, 81.80354267310788, 93.27006039689387, 90.53601340033501, 84.17564208782103, 89.96062992125984, 89.35574229691876, 96.08433734939759, 96.08433734939759, 78.4090909090909, 91.3907284768212, 92.59796806966618, 91.3907284768212, 78.4090909090909, 78.4090909090909, 96.08433734939759, 89.35574229691876, 84.40366972477065, 
6, 88.67977528089888, 90.08782936010037, 92.84482758620689, 92.84482758620689, 80.88709677419355, 85.79982891360137, 91.44555296115475, 85.79982891360137, 80.88709677419355, 80.88709677419355, 92.84482758620689, 90.08782936010037, 83.27106683271067, 91.14173228346458, 91.59420289855072, 95.18072289156626, 95.18072289156626, 83.52272727272727, 90.1840490797546, 93.35302806499261, 90.1840490797546, 83.52272727272727, 83.52272727272727, 95.18072289156626, 91.59420289855072, 86.72566371681415, 
7, 88.65168539325843, 90.11311269375786, 92.75549805950841, 92.75549805950841, 80.98307816277196, 85.67774936061382, 91.41521461963451, 85.67774936061382, 80.98307816277196, 80.98307816277196, 92.75549805950841, 90.11311269375786, 83.26429163214581, 90.35433070866141, 89.19667590027701, 96.98795180722891, 96.98795180722891, 77.8409090909091, 93.19727891156462, 92.92929292929293, 93.19727891156462, 77.8409090909091, 77.8409090909091, 96.98795180722891, 89.19667590027701, 84.82972136222912, 
8, 88.31460674157303, 90.00419991600168, 92.3308918569582, 92.3308918569582, 80.7909604519774, 84.90245971162001, 91.1527009783071, 84.90245971162001, 80.7909604519774, 80.7909604519774, 92.3308918569582, 90.00419991600168, 82.79569892473117, 80.90551181102363, 99.16317991631799, 71.3855421686747, 71.3855421686747, 98.86363636363636, 64.68401486988847, 83.01225919439578, 64.68401486988847, 98.86363636363636, 98.86363636363636, 71.3855421686747, 99.16317991631799, 78.20224719101122, 
9, 88.17415730337078, 89.41908713692946, 92.84791038345541, 92.84791038345541, 79.41888619854721, 85.56521739130434, 91.10124709363771, 85.56521739130434, 79.41888619854721, 79.41888619854721, 92.84791038345541, 89.41908713692946, 82.37756383424026, 89.56692913385827, 94.56869009584665, 89.1566265060241, 89.1566265060241, 90.3409090909091, 81.53846153846153, 91.78294573643412, 81.53846153846153, 90.3409090909091, 90.3409090909091, 89.1566265060241, 94.56869009584665, 85.71428571428571, 
10, 88.34269662921348, 89.40397350993378, 93.14359637774903, 93.14359637774903, 79.37147461724416, 86.1013986013986, 91.23548046462513, 86.1013986013986, 79.37147461724416, 79.37147461724416, 93.14359637774903, 89.40397350993378, 82.59958071278827, 89.56692913385827, 88.85793871866295, 96.08433734939759, 96.08433734939759, 77.27272727272727, 91.2751677852349, 92.32995658465991, 91.2751677852349, 77.27272727272727, 77.27272727272727, 96.08433734939759, 88.85793871866295, 83.6923076923077, 
11, 87.69662921348315, 89.23654568210263, 92.23803363518758, 92.23803363518758, 79.21031426269138, 84.52278589853826, 90.71246819338423, 84.52278589853826, 79.21031426269138, 79.21031426269138, 92.23803363518758, 89.23654568210263, 81.78036605657239, 88.77952755905511, 92.3076923076923, 90.36144578313252, 90.36144578313252, 85.79545454545455, 82.51366120218579, 91.324200913242, 82.51366120218579, 85.79545454545455, 85.79545454545455, 90.36144578313252, 92.3076923076923, 84.12256267409471, 
12, 87.92134831460675, 89.1746163417669, 92.71237602414834, 92.71237602414834, 78.9685737308622, 85.29155787641427, 90.90909090909092, 85.29155787641427, 78.9685737308622, 78.9685737308622, 92.71237602414834, 89.1746163417669, 82.00836820083681, 88.38582677165354, 92.26006191950465, 89.75903614457832, 89.75903614457832, 85.79545454545455, 81.62162162162163, 90.99236641221376, 81.62162162162163, 85.79545454545455, 85.79545454545455, 89.75903614457832, 92.26006191950465, 83.65650969529086, 
13, 88.23033707865169, 89.25175692434891, 93.14063848144953, 93.14063848144953, 79.06602254428341, 86.06485539000876, 91.15473928646823, 86.06485539000876, 79.06602254428341, 79.06602254428341, 93.14063848144953, 89.25175692434891, 82.41712127570288, 85.62992125984252, 95.43859649122807, 81.92771084337349, 81.92771084337349, 92.61363636363636, 73.09417040358744, 88.16855753646678, 73.09417040358744, 92.61363636363636, 92.61363636363636, 81.92771084337349, 95.43859649122807, 81.70426065162908, 
14, 87.5561797752809, 88.82912701696318, 92.54310344827586, 92.54310344827586, 78.2258064516129, 84.86439195100613, 90.64808950812751, 84.86439195100613, 78.2258064516129, 78.2258064516129, 92.54310344827586, 88.82912701696318, 81.40998741082667, 85.62992125984252, 95.43859649122807, 81.92771084337349, 81.92771084337349, 92.61363636363636, 73.09417040358744, 88.16855753646678, 73.09417040358744, 92.61363636363636, 92.61363636363636, 81.92771084337349, 95.43859649122807, 81.70426065162908, 
15, 87.92134831460675, 89.27234927234927, 92.58300991806813, 92.58300991806813, 79.21031426269138, 85.10822510822511, 90.89754445385266, 85.10822510822511, 79.21031426269138, 79.21031426269138, 92.58300991806813, 89.27234927234927, 82.05342237061771, 89.37007874015748, 88.8268156424581, 95.78313253012048, 95.78313253012048, 77.27272727272727, 90.66666666666667, 92.17391304347827, 90.66666666666667, 77.27272727272727, 77.27272727272727, 95.78313253012048, 88.8268156424581, 83.43558282208589, 
16, 87.41573033707866, 89.02337228714524, 92.01898188093183, 92.01898188093183, 78.82447665056361, 84.106529209622, 90.49639372083155, 84.106529209622, 78.82447665056361, 78.82447665056361, 92.01898188093183, 89.02337228714524, 81.37988362427267, 89.56692913385827, 90.9090909090909, 93.37349397590361, 93.37349397590361, 82.38636363636364, 86.82634730538922, 92.12481426448737, 86.82634730538922, 82.38636363636364, 82.38636363636364, 93.37349397590361, 90.9090909090909, 84.5481049562682, 
17, 88.45505617977528, 89.6838602329451, 92.97110823630875, 92.97110823630875, 80.01611603545528, 85.89965397923875, 91.29790387465594, 85.89965397923875, 80.01611603545528, 80.01611603545528, 92.97110823630875, 89.6838602329451, 82.85356695869838, 88.77952755905511, 87.46594005449592, 96.6867469879518, 96.6867469879518, 73.86363636363636, 92.19858156028369, 91.84549356223177, 92.19858156028369, 73.86363636363636, 73.86363636363636, 96.6867469879518, 87.46594005449592, 82.01892744479497, 
18, 88.59550561797754, 89.70527189705273, 93.1867184131091, 93.1867184131091, 80.01611603545528, 86.27280625543005, 91.41285956006769, 86.27280625543005, 80.01611603545528, 80.01611603545528, 93.1867184131091, 89.70527189705273, 83.02675585284281, 90.35433070866141, 91.01449275362319, 94.57831325301204, 94.57831325301204, 82.38636363636364, 88.95705521472392, 92.76218611521418, 88.95705521472392, 82.38636363636364, 82.38636363636364, 94.57831325301204, 91.01449275362319, 85.54572271386431, 
19, 87.8932584269663, 89.52660242982823, 92.19154443485763, 92.19154443485763, 79.87117552334944, 84.5694799658994, 90.8395324123273, 84.5694799658994, 79.87117552334944, 79.87117552334944, 92.19154443485763, 89.52660242982823, 82.15320910973085, 84.64566929133859, 95.68345323741008, 80.12048192771084, 80.12048192771084, 93.18181818181819, 71.30434782608695, 87.21311475409837, 71.30434782608695, 93.18181818181819, 93.18181818181819, 80.12048192771084, 95.68345323741008, 80.78817733990148, 
20, 88.34269662921348, 89.93288590604027, 92.45364381198793, 92.45364381198793, 80.66075745366639, 85.11904761904762, 91.17584520518818, 85.11904761904762, 80.66075745366639, 80.66075745366639, 92.45364381198793, 89.93288590604027, 82.82995448903598, 88.58267716535433, 89.82558139534883, 93.07228915662651, 93.07228915662651, 80.11363636363636, 85.97560975609755, 91.42011834319526, 85.97560975609755, 80.11363636363636, 80.11363636363636, 93.07228915662651, 89.82558139534883, 82.94117647058823, 
21, 87.9494382022472, 89.08188585607941, 92.88486416558861, 92.88486416558861, 78.72683319903304, 85.55166374781086, 90.94363521215959, 85.55166374781086, 78.72683319903304, 78.72683319903304, 92.88486416558861, 89.08188585607941, 81.99748216533781, 88.18897637795276, 89.53488372093024, 92.7710843373494, 92.7710843373494, 79.54545454545455, 85.36585365853658, 91.12426035502959, 85.36585365853658, 79.54545454545455, 79.54545454545455, 92.7710843373494, 89.53488372093024, 82.35294117647058, 
22, 88.98876404494382, 90.3010033444816, 93.10344827586206, 93.10344827586206, 81.29032258064517, 86.3013698630137, 91.68081494057725, 86.3013698630137, 81.29032258064517, 81.29032258064517, 93.10344827586206, 90.3010033444816, 83.72093023255815, 87.99212598425197, 91.43730886850153, 90.06024096385542, 90.06024096385542, 84.0909090909091, 81.76795580110497, 90.74355083459787, 81.76795580110497, 84.0909090909091, 84.0909090909091, 90.06024096385542, 91.43730886850153, 82.91316526610645, 
23, 89.52247191011236, 90.88235294117646, 93.27296248382923, 93.27296248382923, 82.51410153102337, 86.77966101694915, 92.06214088103852, 86.77966101694915, 82.51410153102337, 82.51410153102337, 93.27296248382923, 90.88235294117646, 84.59314332920282, 85.62992125984252, 93.31103678929766, 84.03614457831326, 84.03614457831326, 88.63636363636364, 74.64114832535886, 88.4310618066561, 74.64114832535886, 88.63636363636364, 88.63636363636364, 84.03614457831326, 93.31103678929766, 81.03896103896103, 
24, 89.43820224719101, 90.76406381192275, 93.27006039689387, 93.27006039689387, 82.2866344605475, 86.75721561969439, 92.0, 86.75721561969439, 82.2866344605475, 82.2866344605475, 93.27006039689387, 90.76406381192275, 84.46280991735537, 87.00787401574803, 90.54878048780488, 89.4578313253012, 89.4578313253012, 82.38636363636364, 80.55555555555556, 90.0, 80.55555555555556, 82.38636363636364, 82.38636363636364, 89.4578313253012, 90.54878048780488, 81.46067415730336, 
