Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 77.78089887640449, 80.42519053349378, 86.87175043327557, 86.87175043327557, 61.022364217252395, 71.60262417994377, 83.52426577796292, 71.60262417994377, 61.022364217252395, 61.022364217252395, 86.87175043327557, 80.42519053349378, 65.89047003018543, 87.5984251968504, 89.91097922848665, 91.26506024096386, 91.26506024096386, 80.68181818181819, 83.04093567251462, 90.58295964125561, 83.04093567251462, 80.68181818181819, 80.68181818181819, 91.26506024096386, 89.91097922848665, 81.84438040345822, 
2, 83.34269662921349, 85.42692939244664, 89.73695558430357, 89.73695558430357, 71.39403706688155, 78.82562277580071, 87.52891692954783, 78.82562277580071, 71.39403706688155, 71.39403706688155, 89.73695558430357, 85.42692939244664, 74.92600422832982, 90.5511811023622, 93.03030303030303, 92.46987951807229, 92.46987951807229, 86.93181818181819, 85.95505617977528, 92.74924471299094, 85.95505617977528, 86.93181818181819, 86.93181818181819, 92.46987951807229, 93.03030303030303, 86.4406779661017, 
3, 85.1685393258427, 86.45662847790507, 91.47186147186147, 91.47186147186147, 73.52, 82.34767025089606, 88.89356331510308, 82.34767025089606, 73.52, 73.52, 91.47186147186147, 86.45662847790507, 77.68385460693152, 90.15748031496062, 96.38157894736842, 88.25301204819277, 88.25301204819277, 93.75, 80.88235294117646, 92.13836477987421, 80.88235294117646, 93.75, 93.75, 88.25301204819277, 96.38157894736842, 86.8421052631579, 
4, 86.20786516853933, 87.51017087062652, 92.11991434689507, 92.11991434689507, 74.93877551020408, 83.30308529945553, 89.75589401210098, 83.30308529945553, 74.93877551020408, 74.93877551020408, 92.11991434689507, 87.51017087062652, 78.89987107864202, 88.38582677165354, 92.78996865203762, 89.1566265060241, 89.1566265060241, 86.93181818181819, 80.95238095238095, 90.93701996927803, 80.95238095238095, 86.93181818181819, 86.93181818181819, 89.1566265060241, 92.78996865203762, 83.83561643835617, 
5, 87.24719101123596, 88.58673259167696, 92.3936398796734, 92.3936398796734, 77.53446877534469, 84.37775816416593, 90.45014724442575, 84.37775816416593, 77.53446877534469, 77.53446877534469, 92.3936398796734, 88.58673259167696, 80.81149619611158, 92.32283464566929, 91.73789173789174, 96.98795180722891, 96.98795180722891, 83.52272727272727, 93.63057324840764, 94.28989751098096, 93.63057324840764, 83.52272727272727, 83.52272727272727, 96.98795180722891, 91.73789173789174, 88.28828828828829, 
6, 86.46067415730337, 88.0148270181219, 91.79553264604812, 91.79553264604812, 76.37987012987013, 83.12720848056537, 89.86543313709, 83.12720848056537, 76.37987012987013, 76.37987012987013, 91.79553264604812, 88.0148270181219, 79.61082910321488, 89.56692913385827, 92.66055045871559, 91.26506024096386, 91.26506024096386, 86.36363636363636, 83.97790055248619, 91.95751138088012, 83.97790055248619, 86.36363636363636, 86.36363636363636, 91.26506024096386, 92.66055045871559, 85.15406162464987, 
7, 87.19101123595505, 88.4034299714169, 92.64013692768506, 92.64013692768506, 76.778413736713, 84.51845184518452, 90.4722106142917, 84.51845184518452, 76.778413736713, 76.778413736713, 92.64013692768506, 88.4034299714169, 80.46272493573265, 91.14173228346458, 92.08211143695014, 94.57831325301204, 94.57831325301204, 84.6590909090909, 89.22155688622755, 93.31352154531946, 89.22155688622755, 84.6590909090909, 84.6590909090909, 94.57831325301204, 92.08211143695014, 86.88046647230323, 
8, 88.25842696629213, 89.27835051546391, 93.19845027981059, 93.19845027981059, 78.98140662894099, 86.07929515418502, 91.19629317607414, 86.07929515418502, 78.98140662894099, 78.98140662894099, 93.19845027981059, 89.27835051546391, 82.37774030354133, 86.22047244094489, 97.81021897810218, 80.72289156626506, 80.72289156626506, 96.5909090909091, 72.64957264957265, 88.44884488448845, 72.64957264957265, 96.5909090909091, 96.5909090909091, 80.72289156626506, 97.81021897810218, 82.92682926829269, 
9, 87.80898876404495, 88.75255623721881, 93.17303563761271, 93.17303563761271, 77.6604386677498, 85.73991031390135, 90.9090909090909, 85.73991031390135, 77.6604386677498, 77.6604386677498, 93.17303563761271, 88.75255623721881, 81.50042625745951, 90.15748031496062, 94.33962264150944, 90.36144578313252, 90.36144578313252, 89.77272727272727, 83.15789473684211, 92.3076923076923, 83.15789473684211, 89.77272727272727, 89.77272727272727, 90.36144578313252, 94.33962264150944, 86.33879781420765, 
10, 87.58426966292134, 88.69243421052632, 92.81411359724613, 92.81411359724613, 77.75080906148867, 85.19503546099291, 90.70647603027754, 85.19503546099291, 77.75080906148867, 77.75080906148867, 92.81411359724613, 88.69243421052632, 81.30287648054144, 89.1732283464567, 95.40983606557377, 87.65060240963855, 87.65060240963855, 92.04545454545455, 79.80295566502463, 91.3657770800628, 79.80295566502463, 92.04545454545455, 92.04545454545455, 87.65060240963855, 95.40983606557377, 85.4881266490765, 
