Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 82.71119842829077, 85.3294653957729, 88.71176217147782, 88.71176217147782, 71.4975845410628, 77.21739130434783, 86.98774820447824, 77.21739130434783, 71.4975845410628, 71.4975845410628, 88.71176217147782, 85.3294653957729, 74.24749163879599, 89.58742632612967, 95.14563106796116, 88.55421686746988, 88.55421686746988, 91.52542372881356, 81.0, 91.73166926677067, 81.0, 91.52542372881356, 91.52542372881356, 88.55421686746988, 95.14563106796116, 85.94164456233423, 
2, 88.96996912714005, 90.67510548523207, 92.5894011202068, 92.5894011202068, 82.2061191626409, 85.58256496227996, 91.62225538264761, 85.58256496227996, 82.2061191626409, 82.2061191626409, 92.5894011202068, 90.67510548523207, 83.86036960985626, 88.60510805500982, 91.01796407185628, 91.56626506024097, 91.56626506024097, 83.05084745762711, 84.0, 91.2912912912913, 84.0, 83.05084745762711, 83.05084745762711, 91.56626506024097, 91.01796407185628, 83.52272727272728, 
3, 91.103003087286, 92.17171717171718, 94.3558810857389, 94.3558810857389, 85.02415458937197, 88.96377422072452, 93.25101128379816, 88.96377422072452, 85.02415458937197, 85.02415458937197, 94.3558810857389, 92.17171717171718, 86.94936187731575, 79.3713163064833, 76.0919540229885, 99.6987951807229, 99.6987951807229, 41.24293785310734, 98.64864864864865, 86.3102998696219, 98.64864864864865, 41.24293785310734, 41.24293785310734, 99.6987951807229, 76.0919540229885, 58.16733067729083, 
4, 91.60819534100477, 92.98469387755102, 94.22662645411461, 94.22662645411461, 86.71497584541063, 88.93476465730801, 93.60154076610316, 88.93476465730801, 86.71497584541063, 86.71497584541063, 94.22662645411461, 92.98469387755102, 87.81084386465552, 84.67583497053045, 98.10606060606061, 78.01204819277109, 78.01204819277109, 97.17514124293785, 70.20408163265306, 86.91275167785236, 70.20408163265306, 97.17514124293785, 97.17514124293785, 78.01204819277109, 98.10606060606061, 81.51658767772513, 
5, 92.42211619421835, 93.9562794684955, 94.4420508401551, 94.4420508401551, 88.64734299516908, 89.51219512195122, 94.19853889127631, 89.51219512195122, 88.64734299516908, 88.64734299516908, 94.4420508401551, 93.9562794684955, 89.07766990291263, 88.8015717092338, 92.3076923076923, 90.36144578313252, 90.36144578313252, 85.87570621468926, 82.6086956521739, 91.324200913242, 82.6086956521739, 85.87570621468926, 85.87570621468926, 90.36144578313252, 92.3076923076923, 84.21052631578947, 
6, 92.5343811394892, 93.51969504447268, 95.13140887548471, 95.13140887548471, 87.68115942028986, 90.59900166389352, 94.31866723622385, 90.59900166389352, 87.68115942028986, 87.68115942028986, 95.13140887548471, 93.51969504447268, 89.11620294599018, 92.92730844793712, 92.52873563218391, 96.98795180722891, 96.98795180722891, 85.31073446327683, 93.7888198757764, 94.70588235294117, 93.7888198757764, 85.31073446327683, 85.31073446327683, 96.98795180722891, 92.52873563218391, 89.3491124260355, 
7, 93.34830199270277, 94.37819420783646, 95.47608789314951, 95.47608789314951, 89.3719806763285, 91.35802469135803, 94.9239665881345, 91.35802469135803, 89.3719806763285, 89.3719806763285, 95.47608789314951, 94.37819420783646, 90.35409035409036, 89.58742632612967, 96.03960396039604, 87.65060240963855, 87.65060240963855, 93.22033898305085, 80.09708737864078, 91.65354330708662, 80.09708737864078, 93.22033898305085, 93.22033898305085, 87.65060240963855, 96.03960396039604, 86.16187989556137, 
8, 93.06763962952567, 94.05267629566696, 95.38991813873331, 95.38991813873331, 88.72785829307568, 91.14971050454922, 94.71657754010697, 91.14971050454922, 88.72785829307568, 88.72785829307568, 95.38991813873331, 94.05267629566696, 89.92248062015504, 90.37328094302553, 88.14016172506739, 98.49397590361446, 98.49397590361446, 75.14124293785311, 96.3768115942029, 93.02987197724039, 96.3768115942029, 75.14124293785311, 75.14124293785311, 98.49397590361446, 88.14016172506739, 84.44444444444444, 
9, 93.0957058658434, 94.16773094934014, 95.3037483843171, 95.3037483843171, 88.96940418679549, 91.02141680395387, 94.73233404710922, 91.02141680395387, 88.96940418679549, 88.96940418679549, 95.3037483843171, 94.16773094934014, 89.98371335504885, 90.17681728880157, 91.47058823529412, 93.67469879518072, 93.67469879518072, 83.61581920903954, 87.57396449704142, 92.55952380952381, 87.57396449704142, 83.61581920903954, 83.61581920903954, 93.67469879518072, 91.47058823529412, 85.54913294797687, 
10, 95.00420993544766, 95.81017528858486, 96.553209823352, 96.553209823352, 92.10950080515298, 93.4640522875817, 96.18025751072962, 93.4640522875817, 92.10950080515298, 92.10950080515298, 96.553209823352, 95.81017528858486, 92.78183292781831, 91.35559921414537, 93.90243902439025, 92.7710843373494, 92.7710843373494, 88.70056497175142, 86.74033149171271, 93.33333333333334, 86.74033149171271, 88.70056497175142, 88.70056497175142, 92.7710843373494, 93.90243902439025, 87.70949720670392, 
11, 94.80774628122369, 95.83690987124463, 96.2085308056872, 96.2085308056872, 92.19001610305958, 92.86293592862935, 96.02236078262737, 92.86293592862935, 92.19001610305958, 92.19001610305958, 96.2085308056872, 95.83690987124463, 92.52525252525251, 90.56974459724951, 93.29268292682927, 92.16867469879519, 92.16867469879519, 87.57062146892656, 85.6353591160221, 92.72727272727273, 85.6353591160221, 87.57062146892656, 87.57062146892656, 92.16867469879519, 93.29268292682927, 86.59217877094973, 
