Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 78.97838899803537, 81.77041228779305, 87.16070659198621, 87.16070659198621, 63.687600644122384, 72.63544536271809, 84.37956204379562, 72.63544536271809, 63.687600644122384, 63.687600644122384, 87.16070659198621, 81.77041228779305, 67.86786786786787, 82.5147347740668, 94.18181818181819, 78.01204819277109, 78.01204819277109, 90.96045197740114, 68.80341880341881, 85.33772652388798, 68.80341880341881, 90.96045197740114, 90.96045197740114, 78.01204819277109, 94.18181818181819, 78.34549878345499, 
2, 85.9388156048274, 88.107202680067, 90.65058164584231, 90.65058164584231, 77.13365539452496, 81.53191489361703, 89.36079847101296, 81.53191489361703, 77.13365539452496, 77.13365539452496, 90.65058164584231, 88.107202680067, 79.27182457592056, 89.19449901768172, 89.23512747875354, 94.87951807228916, 94.87951807228916, 78.53107344632768, 89.1025641025641, 91.97080291970804, 89.1025641025641, 78.53107344632768, 78.53107344632768, 94.87951807228916, 89.23512747875354, 83.48348348348348, 
3, 88.32444569183272, 90.10526315789474, 92.20163722533391, 92.20163722533391, 81.07890499194848, 84.76430976430976, 91.14139693356049, 84.76430976430976, 81.07890499194848, 81.07890499194848, 92.20163722533391, 90.10526315789474, 82.88065843621398, 88.8015717092338, 91.04477611940298, 91.86746987951807, 91.86746987951807, 83.05084745762711, 84.48275862068965, 91.4542728635682, 84.48275862068965, 83.05084745762711, 83.05084745762711, 91.86746987951807, 91.04477611940298, 83.76068376068376, 
4, 89.72775750771822, 91.61345253299277, 92.71865575183111, 92.71865575183111, 84.13848631239935, 86.07907742998353, 92.1627408993576, 86.07907742998353, 84.13848631239935, 84.13848631239935, 92.71865575183111, 91.61345253299277, 85.09771986970685, 89.3909626719057, 95.42483660130719, 87.95180722891567, 87.95180722891567, 92.090395480226, 80.29556650246306, 91.53605015673982, 80.29556650246306, 92.090395480226, 92.090395480226, 87.95180722891567, 95.42483660130719, 85.78947368421052, 
5, 90.23294976143698, 91.96086771586559, 93.1495045239121, 93.1495045239121, 84.78260869565217, 86.88118811881188, 92.5513698630137, 86.88118811881188, 84.78260869565217, 84.78260869565217, 93.1495045239121, 91.96086771586559, 85.81907090464547, 90.37328094302553, 94.0809968847352, 90.96385542168674, 90.96385542168674, 89.26553672316385, 84.04255319148936, 92.49617151607961, 84.04255319148936, 89.26553672316385, 89.26553672316385, 90.96385542168674, 94.0809968847352, 86.57534246575345, 
6, 90.87847319674431, 92.46808510638297, 93.62343817320121, 93.62343817320121, 85.7487922705314, 87.79884583676834, 93.04217512309998, 87.79884583676834, 85.7487922705314, 85.7487922705314, 93.62343817320121, 92.46808510638297, 86.76171079429734, 89.58742632612967, 89.07563025210084, 95.78313253012048, 95.78313253012048, 77.96610169491525, 90.78947368421052, 92.3076923076923, 90.78947368421052, 77.96610169491525, 77.96610169491525, 95.78313253012048, 89.07563025210084, 83.89057750759878, 
7, 92.08532135840584, 93.18085556967387, 94.7867298578199, 94.7867298578199, 87.03703703703704, 89.93344425956738, 93.97693293464332, 89.93344425956738, 87.03703703703704, 87.03703703703704, 94.7867298578199, 93.18085556967387, 88.46153846153845, 90.17681728880157, 91.96428571428571, 93.07228915662651, 93.07228915662651, 84.7457627118644, 86.70520231213872, 92.51497005988023, 86.70520231213872, 84.7457627118644, 84.7457627118644, 93.07228915662651, 91.96428571428571, 85.71428571428571, 
8, 92.45018243053606, 93.54838709677419, 94.9590693666523, 94.9590693666523, 87.76167471819646, 90.30654515327258, 94.24844986102201, 90.30654515327258, 87.76167471819646, 87.76167471819646, 94.9590693666523, 93.54838709677419, 89.01592486729277, 90.37328094302553, 89.85915492957747, 96.08433734939759, 96.08433734939759, 79.66101694915254, 91.55844155844156, 92.86754002911208, 91.55844155844156, 79.66101694915254, 79.66101694915254, 96.08433734939759, 89.85915492957747, 85.1963746223565, 
9, 92.5624473758069, 93.19327731092437, 95.5622576475657, 95.5622576475657, 86.95652173913044, 91.29332206255283, 94.36290151031696, 91.29332206255283, 86.95652173913044, 86.95652173913044, 95.5622576475657, 93.19327731092437, 89.0721649484536, 87.81925343811395, 93.54838709677419, 87.34939759036145, 87.34939759036145, 88.70056497175142, 78.89447236180905, 90.34267912772586, 78.89447236180905, 88.70056497175142, 88.70056497175142, 87.34939759036145, 93.54838709677419, 83.51063829787235, 
10, 93.17990457479652, 94.17517006802721, 95.43300301594141, 95.43300301594141, 88.96940418679549, 91.24690338563171, 94.79991440188317, 91.24690338563171, 88.96940418679549, 88.96940418679549, 95.43300301594141, 94.17517006802721, 90.09376273950265, 91.94499017681729, 95.32710280373831, 92.16867469879519, 92.16867469879519, 91.52542372881356, 86.17021276595744, 93.72128637059724, 86.17021276595744, 91.52542372881356, 91.52542372881356, 92.16867469879519, 95.32710280373831, 88.76712328767124, 
11, 92.843109738984, 94.25878320479863, 94.7867298578199, 94.7867298578199, 89.2109500805153, 90.15459723352319, 94.52201933404942, 90.15459723352319, 89.2109500805153, 89.2109500805153, 94.7867298578199, 94.25878320479863, 89.6802913800081, 90.96267190569745, 95.25316455696202, 90.66265060240964, 90.66265060240964, 91.52542372881356, 83.93782383419689, 92.90123456790124, 83.93782383419689, 91.52542372881356, 91.52542372881356, 90.66265060240964, 95.25316455696202, 87.56756756756756, 
12, 93.68509682851528, 94.36917866215072, 96.03619129685481, 96.03619129685481, 89.2914653784219, 92.33971690258119, 95.19538757206918, 92.33971690258119, 89.2914653784219, 89.2914653784219, 96.03619129685481, 94.36917866215072, 90.79001227998363, 92.5343811394892, 92.73255813953489, 96.08433734939759, 96.08433734939759, 85.87570621468926, 92.12121212121212, 94.37869822485207, 92.12121212121212, 85.87570621468926, 85.87570621468926, 96.08433734939759, 92.73255813953489, 88.8888888888889, 
13, 94.63934886331742, 95.24214103653355, 96.59629470056011, 96.59629470056011, 90.98228663446055, 93.4656741108354, 95.9144385026738, 93.4656741108354, 90.98228663446055, 90.98228663446055, 96.59629470056011, 95.24214103653355, 92.20726234190127, 85.6581532416503, 98.14126394052045, 79.51807228915662, 79.51807228915662, 97.17514124293785, 71.66666666666667, 87.85357737104825, 71.66666666666667, 97.17514124293785, 97.17514124293785, 79.51807228915662, 98.14126394052045, 82.49400479616308, 
14, 94.13415660959865, 95.05119453924915, 95.99310641964671, 95.99310641964671, 90.66022544283413, 92.37079573420837, 95.51982851018221, 92.37079573420837, 90.66022544283413, 90.66022544283413, 95.99310641964671, 95.05119453924915, 91.50751726940267, 88.21218074656188, 95.94594594594595, 85.5421686746988, 85.5421686746988, 93.22033898305085, 77.46478873239437, 90.44585987261146, 77.46478873239437, 93.22033898305085, 93.22033898305085, 85.5421686746988, 95.94594594594595, 84.61538461538461, 
15, 94.58321639068201, 95.04657070279424, 96.7255493321844, 96.7255493321844, 90.57971014492753, 93.67194004995837, 95.87871022848601, 93.67194004995837, 90.57971014492753, 90.57971014492753, 96.7255493321844, 95.04657070279424, 92.09987720016373, 90.56974459724951, 93.82716049382717, 91.56626506024097, 91.56626506024097, 88.70056497175142, 84.86486486486487, 92.68292682926831, 84.86486486486487, 88.70056497175142, 88.70056497175142, 91.56626506024097, 93.82716049382717, 86.74033149171272, 
16, 94.44288520909346, 95.3438701409654, 96.1654459284791, 96.1654459284791, 91.22383252818035, 92.71685761047463, 95.75289575289574, 92.71685761047463, 91.22383252818035, 91.22383252818035, 96.1654459284791, 95.3438701409654, 91.96428571428571, 90.96267190569745, 92.81437125748504, 93.37349397590361, 93.37349397590361, 86.44067796610169, 87.42857142857143, 93.0930930930931, 87.42857142857143, 86.44067796610169, 86.44067796610169, 93.37349397590361, 92.81437125748504, 86.93181818181817, 
17, 94.58321639068201, 95.31516183986372, 96.4239551917277, 96.4239551917277, 91.14331723027375, 93.16872427983539, 95.8663525380167, 93.16872427983539, 91.14331723027375, 91.14331723027375, 96.4239551917277, 95.31516183986372, 92.14489214489214, 91.55206286836936, 95.58359621451105, 91.26506024096386, 91.26506024096386, 92.090395480226, 84.89583333333333, 93.37442218798151, 84.89583333333333, 92.090395480226, 92.090395480226, 91.26506024096386, 95.58359621451105, 88.34688346883468, 
18, 95.20067358967162, 95.82267689684569, 96.8548039638087, 96.8548039638087, 92.10950080515298, 94.00164338537387, 96.33597600171417, 94.00164338537387, 92.10950080515298, 92.10950080515298, 96.8548039638087, 95.82267689684569, 93.04595363969092, 90.76620825147347, 94.11764705882354, 91.56626506024097, 91.56626506024097, 89.26553672316385, 84.94623655913979, 92.82442748091604, 84.94623655913979, 89.26553672316385, 89.26553672316385, 91.56626506024097, 94.11764705882354, 87.05234159779614, 
