Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 80.69042941341567, 83.47683476834769, 87.72080999569151, 87.72080999569151, 67.5523349436393, 74.644128113879, 85.54621848739497, 74.644128113879, 67.5523349436393, 67.5523349436393, 87.72080999569151, 83.47683476834769, 70.9213863060017, 84.28290766208252, 95.65217391304348, 79.51807228915662, 79.51807228915662, 93.22033898305085, 70.81545064377683, 86.84210526315789, 70.81545064377683, 93.22033898305085, 93.22033898305085, 79.51807228915662, 95.65217391304348, 80.48780487804878, 
2, 86.64047151277013, 88.51774530271399, 91.33993968117191, 91.33993968117191, 77.85829307568439, 82.79109589041096, 89.9067005937235, 82.79109589041096, 77.85829307568439, 77.85829307568439, 91.33993968117191, 88.51774530271399, 80.24896265560167, 88.21218074656188, 88.63636363636364, 93.97590361445783, 93.97590361445783, 77.40112994350282, 87.26114649681529, 91.2280701754386, 87.26114649681529, 77.40112994350282, 77.40112994350282, 93.97590361445783, 88.63636363636364, 82.0359281437126, 
3, 87.25792871175976, 89.00961136648559, 91.7707884532529, 91.7707884532529, 78.82447665056361, 83.67521367521367, 90.36911327959271, 83.67521367521367, 78.82447665056361, 78.82447665056361, 91.7707884532529, 89.00961136648559, 81.17744610281923, 86.64047151277013, 84.55497382198953, 97.28915662650603, 97.28915662650603, 66.66666666666667, 92.91338582677166, 90.47619047619048, 92.91338582677166, 66.66666666666667, 66.66666666666667, 97.28915662650603, 84.55497382198953, 77.63157894736842, 
4, 89.16643278136402, 90.60008392782207, 93.02024989228781, 93.02024989228781, 81.9645732689211, 86.27118644067797, 91.79421768707482, 86.27118644067797, 81.9645732689211, 81.9645732689211, 93.02024989228781, 90.60008392782207, 84.06275805119736, 87.22986247544205, 98.54545454545455, 81.62650602409639, 81.62650602409639, 97.74011299435028, 73.93162393162393, 89.29159802306425, 73.93162393162393, 97.74011299435028, 97.74011299435028, 81.62650602409639, 98.54545454545455, 84.18491484184915, 
5, 90.87847319674431, 92.43197278911565, 93.66652305040931, 93.66652305040931, 85.6682769726248, 87.86127167630057, 93.04515300663387, 87.86127167630057, 85.6682769726248, 85.6682769726248, 93.66652305040931, 92.43197278911565, 86.75091724419079, 88.21218074656188, 95.63758389261746, 85.8433734939759, 85.8433734939759, 92.65536723163842, 77.72511848341232, 90.47619047619048, 77.72511848341232, 92.65536723163842, 92.65536723163842, 85.8433734939759, 95.63758389261746, 84.53608247422679, 
6, 91.32753297782767, 92.62711864406779, 94.1835415769065, 94.1835415769065, 85.99033816425121, 88.7780548628429, 93.39884640034181, 88.7780548628429, 85.99033816425121, 85.99033816425121, 94.1835415769065, 92.62711864406779, 87.36196319018404, 91.55206286836936, 91.8840579710145, 95.48192771084338, 95.48192771084338, 84.18079096045197, 90.85365853658537, 93.64844903988184, 90.85365853658537, 84.18079096045197, 84.18079096045197, 95.48192771084338, 91.8840579710145, 87.3900293255132, 
7, 91.6923940499579, 93.14017895185343, 94.1835415769065, 94.1835415769065, 87.03703703703704, 88.89802631578948, 93.65895458440444, 88.89802631578948, 87.03703703703704, 87.03703703703704, 94.1835415769065, 93.14017895185343, 87.95768917819366, 91.74852652259332, 93.93939393939394, 93.37349397590361, 93.37349397590361, 88.70056497175142, 87.70949720670392, 93.65558912386706, 87.70949720670392, 88.70056497175142, 88.70056497175142, 93.37349397590361, 93.93939393939394, 88.20224719101124, 
8, 92.16952006735897, 93.48381601362863, 94.57130547177941, 94.57130547177941, 87.68115942028986, 89.62962962962963, 94.02441636324696, 89.62962962962963, 87.68115942028986, 87.68115942028986, 94.57130547177941, 93.48381601362863, 88.64468864468866, 90.17681728880157, 92.72727272727273, 92.16867469879519, 92.16867469879519, 86.44067796610169, 85.47486033519553, 92.44712990936556, 85.47486033519553, 86.44067796610169, 86.44067796610169, 92.16867469879519, 92.72727272727273, 85.95505617977528, 
9, 92.87117597530171, 93.96001701403658, 95.17449375269281, 95.17449375269281, 88.56682769726248, 90.75907590759076, 94.56335616438356, 90.75907590759076, 88.56682769726248, 88.56682769726248, 95.17449375269281, 93.96001701403658, 89.64955175224122, 88.8015717092338, 95.37953795379538, 87.04819277108433, 87.04819277108433, 92.090395480226, 79.12621359223301, 91.02362204724409, 79.12621359223301, 92.090395480226, 92.090395480226, 87.04819277108433, 95.37953795379538, 85.11749347258487, 
10, 93.15183833847881, 94.28571428571429, 95.260663507109, 95.260663507109, 89.2109500805153, 90.9688013136289, 94.77068152593228, 90.9688013136289, 89.2109500805153, 89.2109500805153, 95.260663507109, 94.28571428571429, 90.08130081300814, 89.78388998035363, 96.97986577181209, 87.04819277108433, 87.04819277108433, 94.91525423728814, 79.62085308056872, 91.74603174603175, 79.62085308056872, 94.91525423728814, 94.91525423728814, 87.04819277108433, 96.97986577181209, 86.59793814432992, 
