Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 81.4201515576761, 84.3762950683796, 87.72080999569151, 87.72080999569151, 69.64573268921094, 75.21739130434783, 86.01605407689057, 75.21739130434783, 69.64573268921094, 69.64573268921094, 87.72080999569151, 84.3762950683796, 72.32441471571906, 84.87229862475442, 85.31855955678671, 92.7710843373494, 92.7710843373494, 70.05649717514125, 83.78378378378379, 88.8888888888889, 83.78378378378379, 70.05649717514125, 70.05649717514125, 92.7710843373494, 85.31855955678671, 76.3076923076923, 
2, 85.3494246421555, 87.93757908055673, 89.83196897888841, 89.83196897888841, 76.97262479871175, 80.20134228187919, 88.87468030690538, 80.20134228187919, 76.97262479871175, 76.97262479871175, 89.83196897888841, 87.93757908055673, 78.55382087099424, 89.19449901768172, 87.73841961852861, 96.98795180722891, 96.98795180722891, 74.57627118644068, 92.95774647887323, 92.1316165951359, 92.95774647887323, 74.57627118644068, 74.57627118644068, 96.98795180722891, 87.73841961852861, 82.75862068965519, 
3, 86.30367667695762, 87.98176543721509, 91.4691943127962, 91.4691943127962, 76.65056360708535, 82.78260869565217, 89.69159273341782, 82.78260869565217, 76.65056360708535, 76.65056360708535, 91.4691943127962, 87.98176543721509, 79.59866220735786, 87.22986247544205, 90.09009009009009, 90.36144578313252, 90.36144578313252, 81.35593220338983, 81.81818181818181, 90.22556390977444, 81.81818181818181, 81.35593220338983, 81.35593220338983, 90.36144578313252, 90.09009009009009, 81.58640226628894, 
4, 87.20179623912433, 89.32939687895403, 91.25376992675571, 91.25376992675571, 79.62962962962963, 82.96979865771812, 90.28132992327366, 82.96979865771812, 79.62962962962963, 79.62962962962963, 91.25376992675571, 89.32939687895403, 81.26540673788003, 89.9803536345776, 92.44712990936556, 92.16867469879519, 92.16867469879519, 85.87570621468926, 85.3932584269663, 92.3076923076923, 85.3932584269663, 85.87570621468926, 85.87570621468926, 92.16867469879519, 92.44712990936556, 85.63380281690142, 
5, 88.40864440078585, 90.01677852348993, 92.46014648858251, 92.46014648858251, 80.83735909822866, 85.15691263782867, 91.22210414452711, 85.15691263782867, 80.83735909822866, 80.83735909822866, 92.46014648858251, 90.01677852348993, 82.94093349855432, 87.03339882121807, 85.75268817204301, 96.08433734939759, 96.08433734939759, 70.05649717514125, 90.51094890510949, 90.62500000000001, 90.51094890510949, 70.05649717514125, 70.05649717514125, 96.08433734939759, 85.75268817204301, 78.98089171974523, 
6, 88.74543923659837, 90.26845637583892, 92.71865575183111, 92.71865575183111, 81.32045088566828, 85.66581849024597, 91.47715196599361, 85.66581849024597, 81.32045088566828, 81.32045088566828, 92.71865575183111, 90.26845637583892, 83.43659644774887, 87.62278978388997, 88.76080691642652, 92.7710843373494, 92.7710843373494, 77.96610169491525, 85.18518518518519, 90.72164948453609, 85.18518518518519, 77.96610169491525, 77.96610169491525, 92.7710843373494, 88.76080691642652, 81.41592920353983, 
7, 89.86808868930677, 91.10738255033557, 93.5803532959931, 93.5803532959931, 82.93075684380032, 87.36217133163699, 92.32731137088204, 87.36217133163699, 82.93075684380032, 82.93075684380032, 93.5803532959931, 91.10738255033557, 85.08880627839736, 79.3713163064833, 76.21247113163972, 99.39759036144578, 99.39759036144578, 41.80790960451977, 97.36842105263158, 86.27450980392156, 97.36842105263158, 41.80790960451977, 41.80790960451977, 99.39759036144578, 76.21247113163972, 58.49802371541502, 
8, 89.33483019927027, 90.76018479630407, 93.10641964670401, 93.10641964670401, 82.2866344605475, 86.46362098138748, 91.91833262441514, 86.46362098138748, 82.2866344605475, 82.2866344605475, 93.10641964670401, 90.76018479630407, 84.32343234323433, 88.99803536345776, 88.98305084745763, 94.87951807228916, 94.87951807228916, 77.96610169491525, 89.03225806451613, 91.83673469387756, 89.03225806451613, 77.96610169491525, 77.96610169491525, 94.87951807228916, 88.98305084745763, 83.13253012048193, 
9, 90.31714847039012, 91.40821458507963, 93.96811719086601, 93.96811719086601, 83.49436392914654, 88.1053525913339, 92.67049075844488, 88.1053525913339, 83.49436392914654, 83.49436392914654, 93.96811719086601, 91.40821458507963, 85.7379082265399, 87.81925343811395, 85.90425531914893, 97.28915662650603, 97.28915662650603, 70.05649717514125, 93.23308270676692, 91.24293785310734, 93.23308270676692, 70.05649717514125, 70.05649717514125, 97.28915662650603, 85.90425531914893, 80.00000000000001, 
10, 89.30676396295257, 91.0321489001692, 92.71865575183111, 92.71865575183111, 82.93075684380032, 85.9049207673061, 91.86766275346852, 85.9049207673061, 82.93075684380032, 82.93075684380032, 92.71865575183111, 91.0321489001692, 84.39164276935684, 90.37328094302553, 91.01449275362319, 94.57831325301204, 94.57831325301204, 82.48587570621469, 89.02439024390245, 92.76218611521418, 89.02439024390245, 82.48587570621469, 82.48587570621469, 94.57831325301204, 91.01449275362319, 85.63049853372434, 
11, 90.65394330620263, 91.87026116259477, 93.96811719086601, 93.96811719086601, 84.46054750402577, 88.22539949537426, 92.90734824281151, 88.22539949537426, 84.46054750402577, 84.46054750402577, 93.96811719086601, 91.87026116259477, 86.3019333607569, 86.2475442043222, 98.16176470588235, 80.42168674698796, 80.42168674698796, 97.17514124293785, 72.57383966244726, 88.41059602649007, 72.57383966244726, 97.17514124293785, 97.17514124293785, 80.42168674698796, 98.16176470588235, 83.09178743961354, 
12, 91.18720179623912, 92.53921153030946, 94.0542869452822, 94.0542869452822, 85.829307568438, 88.53820598006645, 93.2905982905983, 88.53820598006645, 85.829307568438, 85.829307568438, 94.0542869452822, 92.53921153030946, 87.16271463614062, 90.37328094302553, 88.5558583106267, 97.89156626506023, 97.89156626506023, 76.27118644067797, 95.07042253521126, 92.98998569384834, 95.07042253521126, 76.27118644067797, 76.27118644067797, 97.89156626506023, 88.5558583106267, 84.63949843260187, 
13, 90.51361212461408, 91.85310257492613, 93.7526928048255, 93.7526928048255, 84.46054750402577, 87.85594639865997, 92.79317697228144, 87.85594639865997, 84.46054750402577, 84.46054750402577, 93.7526928048255, 91.85310257492613, 86.12479474548441, 89.19449901768172, 89.68481375358166, 94.27710843373494, 94.27710843373494, 79.66101694915254, 88.125, 91.92364170337738, 88.125, 79.66101694915254, 79.66101694915254, 94.27710843373494, 89.68481375358166, 83.67952522255192, 
14, 92.64664608476004, 93.71549893842888, 95.0883239982766, 95.0883239982766, 88.08373590982286, 90.56291390728477, 94.39692044482463, 90.56291390728477, 88.08373590982286, 88.08373590982286, 95.0883239982766, 93.71549893842888, 89.3061224489796, 88.60510805500982, 94.19354838709677, 87.95180722891567, 87.95180722891567, 89.83050847457628, 79.89949748743719, 90.96573208722741, 79.89949748743719, 89.83050847457628, 89.83050847457628, 87.95180722891567, 94.19354838709677, 84.57446808510639, 
15, 92.33791748526524, 93.42663273960984, 94.9159844894442, 94.9159844894442, 87.52012882447666, 90.20746887966806, 94.16541996153023, 90.20746887966806, 87.52012882447666, 87.52012882447666, 94.9159844894442, 93.42663273960984, 88.84348181446668, 84.67583497053045, 94.71830985915493, 81.02409638554217, 81.02409638554217, 91.52542372881356, 72.0, 87.33766233766232, 72.0, 91.52542372881356, 91.52542372881356, 81.02409638554217, 94.71830985915493, 80.59701492537312, 
16, 92.14145383104125, 93.15010570824525, 94.9159844894442, 94.9159844894442, 86.95652173913044, 90.15025041736227, 94.02475458813487, 90.15025041736227, 86.95652173913044, 86.95652173913044, 94.9159844894442, 93.15010570824525, 88.52459016393443, 89.78388998035363, 93.20987654320987, 90.96385542168674, 90.96385542168674, 87.57062146892656, 83.78378378378379, 92.07317073170732, 83.78378378378379, 87.57062146892656, 87.57062146892656, 90.96385542168674, 93.20987654320987, 85.6353591160221, 
17, 92.02918888577042, 92.95655841417124, 94.9590693666523, 94.9590693666523, 86.55394524959742, 90.18456375838926, 93.94714407502131, 90.18456375838926, 86.55394524959742, 86.55394524959742, 94.9590693666523, 92.95655841417124, 88.33196384552178, 87.62278978388997, 96.86411149825784, 83.73493975903614, 83.73493975903614, 94.91525423728814, 75.67567567567568, 89.82229402261711, 75.67567567567568, 94.91525423728814, 94.91525423728814, 83.73493975903614, 96.86411149825784, 84.21052631578948, 
