Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 80.2133033960146, 83.27841845140033, 87.11762171477811, 87.11762171477811, 67.31078904991948, 73.65638766519824, 85.15476942514213, 73.65638766519824, 67.31078904991948, 67.31078904991948, 87.11762171477811, 83.27841845140033, 70.34076567101388, 87.62278978388997, 91.38461538461539, 89.4578313253012, 89.4578313253012, 84.18079096045197, 80.97826086956522, 90.41095890410958, 80.97826086956522, 84.18079096045197, 84.18079096045197, 89.4578313253012, 91.38461538461539, 82.54847645429363, 
2, 87.14566376648891, 89.32038834951456, 91.1676001723395, 91.1676001723395, 79.62962962962963, 82.83082077051927, 90.23454157782515, 82.83082077051927, 79.62962962962963, 79.62962962962963, 91.1676001723395, 89.32038834951456, 81.19868637110017, 87.42632612966601, 84.71502590673575, 98.49397590361446, 98.49397590361446, 66.66666666666667, 95.9349593495935, 91.08635097493035, 95.9349593495935, 66.66666666666667, 66.66666666666667, 98.49397590361446, 84.71502590673575, 78.66666666666667, 
3, 88.46477687342127, 90.53480475382004, 91.90004308487721, 91.90004308487721, 82.0450885668277, 84.4241922120961, 91.2123155869147, 84.4241922120961, 82.0450885668277, 82.0450885668277, 91.90004308487721, 90.53480475382004, 83.21763985300123, 88.60510805500982, 92.54658385093168, 89.75903614457832, 89.75903614457832, 86.44067796610169, 81.81818181818181, 91.13149847094802, 81.81818181818181, 86.44067796610169, 86.44067796610169, 89.75903614457832, 92.54658385093168, 84.06593406593406, 
4, 89.47516138085882, 91.33389974511469, 92.6324859974149, 92.6324859974149, 83.57487922705315, 85.8560794044665, 91.97860962566844, 85.8560794044665, 83.57487922705315, 83.57487922705315, 92.6324859974149, 91.33389974511469, 84.70012239902081, 89.58742632612967, 96.03960396039604, 87.65060240963855, 87.65060240963855, 93.22033898305085, 80.09708737864078, 91.65354330708662, 80.09708737864078, 93.22033898305085, 93.22033898305085, 87.65060240963855, 96.03960396039604, 86.16187989556137, 
5, 90.87847319674431, 92.46808510638297, 93.62343817320121, 93.62343817320121, 85.7487922705314, 87.79884583676834, 93.04217512309998, 87.79884583676834, 85.7487922705314, 85.7487922705314, 93.62343817320121, 92.46808510638297, 86.76171079429734, 88.8015717092338, 90.80118694362018, 92.16867469879519, 92.16867469879519, 82.48587570621469, 84.88372093023256, 91.4798206278027, 84.88372093023256, 82.48587570621469, 82.48587570621469, 92.16867469879519, 90.80118694362018, 83.66762177650429, 
6, 90.48554588829639, 92.42294520547945, 93.02024989228781, 93.02024989228781, 85.7487922705314, 86.79706601466992, 92.72063560231909, 86.79706601466992, 85.7487922705314, 85.7487922705314, 93.02024989228781, 92.42294520547945, 86.26974483596598, 82.31827111984283, 79.08653846153847, 99.09638554216868, 99.09638554216868, 50.847457627118644, 96.7741935483871, 87.96791443850267, 96.7741935483871, 50.847457627118644, 50.847457627118644, 99.09638554216868, 79.08653846153847, 66.66666666666666, 
7, 92.2817850126298, 93.71794871794872, 94.4851357173632, 94.4851357173632, 88.16425120772946, 89.53393295175798, 94.09997854537654, 89.53393295175798, 88.16425120772946, 88.16425120772946, 94.4851357173632, 93.71794871794872, 88.84381338742394, 89.3909626719057, 95.72368421052632, 87.65060240963855, 87.65060240963855, 92.65536723163842, 80.0, 91.50943396226415, 80.0, 92.65536723163842, 92.65536723163842, 87.65060240963855, 95.72368421052632, 85.86387434554973, 
8, 92.05725512208814, 93.54700854700855, 94.31279620853081, 94.31279620853081, 87.84219001610306, 89.20686835650041, 93.92834155760566, 89.20686835650041, 87.84219001610306, 87.84219001610306, 94.31279620853081, 93.54700854700855, 88.51926977687626, 90.76620825147347, 89.25619834710744, 97.59036144578313, 97.59036144578313, 77.96610169491525, 94.52054794520548, 93.23741007194245, 94.52054794520548, 77.96610169491525, 77.96610169491525, 97.59036144578313, 89.25619834710744, 85.44891640866874, 
9, 92.45018243053606, 93.99656946826758, 94.4420508401551, 94.4420508401551, 88.72785829307568, 89.52071486596263, 94.2187835804857, 89.52071486596263, 88.72785829307568, 88.72785829307568, 94.4420508401551, 93.99656946826758, 89.122523251112, 87.03339882121807, 95.23809523809524, 84.33734939759036, 84.33734939759036, 92.090395480226, 75.81395348837209, 89.45686900958466, 75.81395348837209, 92.090395480226, 92.090395480226, 84.33734939759036, 95.23809523809524, 83.16326530612245, 
10, 92.67471232107775, 94.24398625429554, 94.52822059457131, 94.52822059457131, 89.2109500805153, 89.7165991902834, 94.38588943858896, 89.7165991902834, 89.2109500805153, 89.2109500805153, 94.52822059457131, 94.24398625429554, 89.46306015341139, 88.01571709233792, 94.42622950819673, 86.74698795180723, 86.74698795180723, 90.3954802259887, 78.43137254901961, 90.42386185243329, 78.43137254901961, 90.3954802259887, 90.3954802259887, 86.74698795180723, 94.42622950819673, 83.98950131233597, 
