Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 73.84831460674157, 72.85902503293808, 95.38594221647261, 95.38594221647261, 33.60193392425463, 79.58015267175573, 82.61437908496731, 79.58015267175573, 33.60193392425463, 33.60193392425463, 95.38594221647261, 72.85902503293808, 47.25212464589235, 83.66141732283464, 81.203007518797, 97.59036144578313, 97.59036144578313, 57.38636363636363, 92.66055045871559, 88.64569083447333, 92.66055045871559, 57.38636363636363, 57.38636363636363, 97.59036144578313, 81.203007518797, 70.87719298245615, 
2, 86.32022471910112, 87.90890269151139, 91.58757549611734, 91.58757549611734, 76.48953301127214, 82.96943231441048, 89.71054299598563, 82.96943231441048, 76.48953301127214, 76.48953301127214, 91.58757549611734, 87.90890269151139, 79.5978215333054, 88.58267716535433, 86.24338624338624, 98.19277108433735, 98.19277108433735, 70.45454545454545, 95.38461538461539, 91.83098591549296, 95.38461538461539, 70.45454545454545, 70.45454545454545, 98.19277108433735, 86.24338624338624, 81.04575163398692, 
3, 88.59550561797754, 90.00418235048097, 92.79862009486848, 92.79862009486848, 80.7413376309428, 85.71428571428571, 91.38004246284501, 85.71428571428571, 80.7413376309428, 80.7413376309428, 92.79862009486848, 90.00418235048097, 83.15352697095436, 89.1732283464567, 92.87925696594428, 90.36144578313252, 90.36144578313252, 86.93181818181819, 82.70270270270271, 91.6030534351145, 82.70270270270271, 86.93181818181819, 86.93181818181819, 90.36144578313252, 92.87925696594428, 84.7645429362881, 
4, 88.56741573033707, 90.23569023569024, 92.45364381198793, 92.45364381198793, 81.30539887187751, 85.2195945945946, 91.33120340788072, 85.2195945945946, 81.30539887187751, 81.30539887187751, 92.45364381198793, 90.23569023569024, 83.21649484536083, 89.76377952755905, 89.77272727272727, 95.18072289156626, 95.18072289156626, 79.54545454545455, 89.74358974358974, 92.39766081871345, 89.74358974358974, 79.54545454545455, 79.54545454545455, 95.18072289156626, 89.77272727272727, 84.33734939759037, 
5, 89.63483146067416, 90.99705511148507, 93.31320103537533, 93.31320103537533, 82.76972624798712, 86.89771766694844, 92.1405750798722, 86.89771766694844, 82.76972624798712, 82.76972624798712, 93.31320103537533, 90.99705511148507, 84.78350515463917, 88.9763779527559, 87.29729729729729, 97.28915662650603, 97.28915662650603, 73.29545454545455, 93.47826086956522, 92.02279202279203, 93.47826086956522, 73.29545454545455, 73.29545454545455, 97.28915662650603, 87.29729729729729, 82.1656050955414, 
6, 88.82022471910112, 90.54054054054055, 92.49352890422779, 92.49352890422779, 81.9645732689211, 85.40268456375838, 91.50661545027742, 85.40268456375838, 81.9645732689211, 81.9645732689211, 92.49352890422779, 90.54054054054055, 83.64831552999179, 91.73228346456693, 91.42857142857143, 96.3855421686747, 96.3855421686747, 82.95454545454545, 92.40506329113924, 93.84164222873899, 92.40506329113924, 82.95454545454545, 82.95454545454545, 96.3855421686747, 91.42857142857143, 87.42514970059881, 
7, 89.7752808988764, 91.36325148179509, 93.09749784296808, 93.09749784296808, 83.57487922705315, 86.64440734557596, 92.22222222222223, 86.64440734557596, 83.57487922705315, 83.57487922705315, 93.09749784296808, 91.36325148179509, 85.08196721311475, 90.15748031496062, 89.3854748603352, 96.3855421686747, 96.3855421686747, 78.4090909090909, 92.0, 92.75362318840578, 92.0, 78.4090909090909, 78.4090909090909, 96.3855421686747, 89.3854748603352, 84.66257668711656, 
8, 89.12921348314606, 90.49015500628404, 93.10344827586206, 93.10344827586206, 81.69354838709677, 86.35976129582268, 91.77820267686424, 86.35976129582268, 81.69354838709677, 81.69354838709677, 93.10344827586206, 90.49015500628404, 83.96187318690427, 89.76377952755905, 91.66666666666667, 92.7710843373494, 92.7710843373494, 84.0909090909091, 86.04651162790698, 92.21556886227546, 86.04651162790698, 84.0909090909091, 84.0909090909091, 92.7710843373494, 91.66666666666667, 85.05747126436782, 
9, 89.26966292134831, 91.05173876166242, 92.62295081967213, 92.62295081967213, 83.01127214170693, 85.77371048252911, 91.83062446535499, 85.77371048252911, 83.01127214170693, 83.01127214170693, 92.62295081967213, 91.05173876166242, 84.36988543371523, 90.74803149606299, 94.67084639498432, 90.96385542168674, 90.96385542168674, 90.3409090909091, 84.12698412698413, 92.78033794162826, 84.12698412698413, 90.3409090909091, 90.3409090909091, 90.96385542168674, 94.67084639498432, 87.12328767123287, 
10, 89.12921348314606, 90.01243265644426, 93.70146678170838, 93.70146678170838, 80.59581320450886, 87.27114210985178, 91.81991122384274, 87.27114210985178, 80.59581320450886, 80.59581320450886, 93.70146678170838, 90.01243265644426, 83.80075345332774, 88.58267716535433, 87.02702702702703, 96.98795180722891, 96.98795180722891, 72.72727272727273, 92.7536231884058, 91.73789173789173, 92.7536231884058, 72.72727272727273, 72.72727272727273, 96.98795180722891, 87.02702702702703, 81.52866242038218, 
