Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 82.19101123595506, 82.18654434250764, 92.75237273511648, 92.75237273511648, 62.47987117552335, 82.20338983050847, 87.15038508309686, 82.20338983050847, 62.47987117552335, 62.47987117552335, 92.75237273511648, 82.18654434250764, 70.99725526075022, 84.4488188976378, 81.70426065162907, 98.19277108433735, 98.19277108433735, 58.52272727272727, 94.4954128440367, 89.19288645690835, 94.4954128440367, 58.52272727272727, 58.52272727272727, 98.19277108433735, 81.70426065162907, 72.28070175438596, 
2, 87.47191011235955, 88.87505188875052, 92.32427770590772, 92.32427770590772, 78.40451248992748, 84.5351867940921, 90.5668358714044, 84.5351867940921, 78.40451248992748, 78.40451248992748, 92.32427770590772, 88.87505188875052, 81.35451505016724, 85.8267716535433, 85.13513513513513, 94.87951807228916, 94.87951807228916, 68.75, 87.68115942028986, 89.74358974358975, 87.68115942028986, 68.75, 68.75, 94.87951807228916, 85.13513513513513, 77.07006369426752, 
3, 89.71910112359551, 90.64059900166389, 93.92241379310344, 93.92241379310344, 81.85483870967742, 87.80276816608996, 92.25232853513971, 87.80276816608996, 81.85483870967742, 81.85483870967742, 93.92241379310344, 90.64059900166389, 84.7245409015025, 88.9763779527559, 94.51612903225806, 88.25301204819277, 88.25301204819277, 90.3409090909091, 80.3030303030303, 91.27725856697819, 80.3030303030303, 90.3409090909091, 90.3409090909091, 88.25301204819277, 94.51612903225806, 85.02673796791443, 
4, 90.64606741573033, 91.5133779264214, 94.39413540319103, 94.39413540319103, 83.64222401289283, 88.86986301369863, 92.93143706219486, 88.86986301369863, 83.64222401289283, 83.64222401289283, 94.39413540319103, 91.5133779264214, 86.17683686176836, 90.94488188976378, 93.07228915662651, 93.07228915662651, 93.07228915662651, 86.93181818181819, 86.93181818181819, 93.07228915662651, 86.93181818181819, 86.93181818181819, 86.93181818181819, 93.07228915662651, 93.07228915662651, 86.93181818181819, 
5, 90.47752808988764, 91.63514081546869, 93.96551724137932, 93.96551724137932, 83.95161290322581, 88.14563928873835, 92.78569908491168, 88.14563928873835, 83.95161290322581, 83.95161290322581, 93.96551724137932, 91.63514081546869, 85.99752168525403, 87.4015748031496, 94.96644295302013, 85.24096385542168, 85.24096385542168, 91.47727272727273, 76.66666666666667, 89.84126984126983, 76.66666666666667, 91.47727272727273, 91.47727272727273, 85.24096385542168, 94.96644295302013, 83.41968911917098, 
6, 90.78651685393258, 91.63179916317992, 94.47799827437446, 94.47799827437446, 83.89694041867955, 89.05982905982906, 93.03313508920985, 89.05982905982906, 83.89694041867955, 83.89694041867955, 94.47799827437446, 91.63179916317992, 86.40132669983417, 90.35433070866141, 89.63585434173669, 96.3855421686747, 96.3855421686747, 78.97727272727273, 92.05298013245033, 92.88824383164005, 92.05298013245033, 78.97727272727273, 78.97727272727273, 96.3855421686747, 89.63585434173669, 85.01529051987768, 
7, 91.60112359550561, 92.43697478991596, 94.8684777921518, 94.8684777921518, 85.4955680902498, 89.91525423728814, 93.63694403064483, 89.91525423728814, 85.4955680902498, 85.4955680902498, 94.8684777921518, 92.43697478991596, 87.64973151590252, 89.96062992125984, 90.72463768115942, 94.27710843373494, 94.27710843373494, 81.81818181818181, 88.34355828220859, 92.46676514032495, 88.34355828220859, 81.81818181818181, 81.81818181818181, 94.27710843373494, 90.72463768115942, 84.95575221238938, 
8, 90.73033707865169, 91.59347553324969, 94.4372574385511, 94.4372574385511, 83.8033843674456, 88.96492728828058, 92.99363057324841, 88.96492728828058, 83.8033843674456, 83.8033843674456, 94.4372574385511, 91.59347553324969, 86.30705394190869, 89.96062992125984, 93.23076923076923, 91.26506024096386, 91.26506024096386, 87.5, 84.15300546448087, 92.23744292237443, 84.15300546448087, 87.5, 87.5, 91.26506024096386, 93.23076923076923, 85.79387186629526, 
9, 90.36516853932585, 91.30798161303802, 94.18103448275862, 94.18103448275862, 83.2258064516129, 88.4318766066838, 92.72225758540208, 88.4318766066838, 83.2258064516129, 83.2258064516129, 94.18103448275862, 91.30798161303802, 85.74989613626921, 87.4015748031496, 85.8288770053476, 96.6867469879518, 96.6867469879518, 69.88636363636364, 91.7910447761194, 90.93484419263456, 91.7910447761194, 69.88636363636364, 69.88636363636364, 96.6867469879518, 85.8288770053476, 79.35483870967742, 
10, 90.08426966292134, 90.7883817427386, 94.35101336783096, 94.35101336783096, 82.11120064464141, 88.6086956521739, 92.5354197504758, 88.6086956521739, 82.11120064464141, 82.11120064464141, 94.35101336783096, 90.7883817427386, 85.23630280217482, 88.77952755905511, 93.9297124600639, 88.55421686746988, 88.55421686746988, 89.20454545454545, 80.51282051282051, 91.16279069767441, 80.51282051282051, 89.20454545454545, 89.20454545454545, 88.55421686746988, 93.9297124600639, 84.63611859838275, 
11, 90.0, 90.80698835274542, 94.17601380500432, 94.17601380500432, 82.2061191626409, 88.32179930795847, 92.46082168572639, 88.32179930795847, 82.2061191626409, 82.2061191626409, 94.17601380500432, 90.80698835274542, 85.15429524603837, 89.96062992125984, 91.94029850746269, 92.7710843373494, 92.7710843373494, 84.6590909090909, 86.1271676300578, 92.35382308845577, 86.1271676300578, 84.6590909090909, 84.6590909090909, 92.7710843373494, 91.94029850746269, 85.38681948424069, 
12, 90.0561797752809, 90.81844619858745, 94.26476929711082, 94.26476929711082, 82.1917808219178, 88.46487424111015, 92.50952179432923, 88.46487424111015, 82.1917808219178, 82.1917808219178, 94.26476929711082, 90.81844619858745, 85.21303258145363, 88.9763779527559, 89.20454545454545, 94.57831325301204, 94.57831325301204, 78.4090909090909, 88.46153846153847, 91.81286549707602, 88.46153846153847, 78.4090909090909, 78.4090909090909, 94.57831325301204, 89.20454545454545, 83.13253012048193, 
13, 90.1685393258427, 91.07217355027117, 94.13540319103062, 94.13540319103062, 82.75584206285254, 88.3061049011178, 92.57845631891433, 88.3061049011178, 82.75584206285254, 82.75584206285254, 94.13540319103062, 91.07217355027117, 85.44093178036607, 88.58267716535433, 95.0657894736842, 87.04819277108433, 87.04819277108433, 91.47727272727273, 78.92156862745098, 90.88050314465409, 78.92156862745098, 91.47727272727273, 91.47727272727273, 87.04819277108433, 95.0657894736842, 84.73684210526315, 
14, 89.5505617977528, 90.61718098415346, 93.66379310344827, 93.66379310344827, 81.85483870967742, 87.34939759036145, 92.11530309453157, 87.34939759036145, 81.85483870967742, 81.85483870967742, 93.66379310344827, 90.61718098415346, 84.51290591174022, 90.94488188976378, 91.81286549707602, 94.57831325301204, 94.57831325301204, 84.0909090909091, 89.1566265060241, 93.17507418397626, 89.1566265060241, 84.0909090909091, 84.0909090909091, 94.57831325301204, 91.81286549707602, 86.54970760233918, 
15, 89.97191011235955, 91.1875786823332, 93.66379310344827, 93.66379310344827, 83.06451612903226, 87.51062022090059, 92.40910057410163, 87.51062022090059, 83.06451612903226, 83.06451612903226, 93.66379310344827, 91.1875786823332, 85.22962350020687, 88.38582677165354, 90.02932551319648, 92.46987951807229, 92.46987951807229, 80.68181818181819, 85.02994011976048, 91.2332838038633, 85.02994011976048, 80.68181818181819, 80.68181818181819, 92.46987951807229, 90.02932551319648, 82.79883381924199, 
16, 90.25280898876404, 91.52970922882427, 93.70146678170838, 93.70146678170838, 83.81642512077295, 87.70008424599831, 92.60285653378811, 87.70008424599831, 83.81642512077295, 83.81642512077295, 93.70146678170838, 91.52970922882427, 85.71428571428572, 89.56692913385827, 92.40121580547113, 91.56626506024097, 91.56626506024097, 85.79545454545455, 84.35754189944134, 91.98184568835099, 84.35754189944134, 85.79545454545455, 85.79545454545455, 91.56626506024097, 92.40121580547113, 85.07042253521128, 
17, 90.0, 91.26050420168067, 93.62068965517241, 93.62068965517241, 83.2258064516129, 87.45762711864407, 92.42553191489363, 87.45762711864407, 83.2258064516129, 83.2258064516129, 93.62068965517241, 91.26050420168067, 85.2892561983471, 89.1732283464567, 88.36565096952909, 96.08433734939759, 96.08433734939759, 76.13636363636364, 91.15646258503402, 92.06349206349206, 91.15646258503402, 76.13636363636364, 76.13636363636364, 96.08433734939759, 88.36565096952909, 82.97213622291024, 
18, 90.02808988764045, 91.19127516778524, 93.74730487279, 93.74730487279, 83.0781627719581, 87.67006802721089, 92.45162662130555, 87.67006802721089, 83.0781627719581, 83.0781627719581, 93.74730487279, 91.19127516778524, 85.31237070748863, 87.20472440944881, 94.94949494949495, 84.93975903614458, 84.93975903614458, 91.47727272727273, 76.30331753554502, 89.66613672496025, 76.30331753554502, 91.47727272727273, 91.47727272727273, 84.93975903614458, 94.94949494949495, 83.20413436692506, 
19, 90.14044943820225, 91.1678526580159, 93.96031061259707, 93.96031061259707, 83.01127214170693, 88.04440649017933, 92.54302103250477, 88.04440649017933, 83.01127214170693, 83.01127214170693, 93.96031061259707, 91.1678526580159, 85.45379196021551, 87.99212598425197, 93.01587301587301, 88.25301204819277, 88.25301204819277, 87.5, 79.79274611398964, 90.57187017001546, 79.79274611398964, 87.5, 87.5, 88.25301204819277, 93.01587301587301, 83.46883468834689, 
20, 89.63483146067416, 91.0391249474127, 93.27586206896552, 93.27586206896552, 82.8225806451613, 86.81318681318682, 92.14392165211837, 86.81318681318682, 82.8225806451613, 82.8225806451613, 93.27586206896552, 91.0391249474127, 84.77094510936857, 88.9763779527559, 92.07317073170732, 90.96385542168674, 90.96385542168674, 85.22727272727273, 83.33333333333333, 91.51515151515153, 83.33333333333333, 85.22727272727273, 85.22727272727273, 90.96385542168674, 92.07317073170732, 84.26966292134831, 
