Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 67.72382823463373, 74.94674051981252, 75.78629900904782, 75.78629900904782, 52.65700483091788, 53.7828947368421, 75.36418166238218, 53.7828947368421, 52.65700483091788, 52.65700483091788, 75.78629900904782, 74.94674051981252, 53.213995117982094, 71.90569744597249, 75.89041095890411, 83.43373493975903, 83.43373493975903, 50.282485875706215, 61.80555555555556, 79.48350071736012, 61.80555555555556, 50.282485875706215, 50.282485875706215, 83.43373493975903, 75.89041095890411, 55.451713395638635, 
2, 72.71961829918608, 78.25722664432342, 80.48255062473072, 80.48255062473072, 58.21256038647343, 61.47959183673469, 79.35429056924383, 61.47959183673469, 58.21256038647343, 58.21256038647343, 80.48255062473072, 78.25722664432342, 59.80148883374689, 72.10216110019645, 80.64516129032258, 75.3012048192771, 75.3012048192771, 66.10169491525424, 58.79396984924623, 77.88161993769471, 58.79396984924623, 66.10169491525424, 66.10169491525424, 75.3012048192771, 80.64516129032258, 62.23404255319149, 
3, 74.93685096828516, 79.67581047381546, 82.59370960792762, 82.59370960792762, 60.628019323671495, 65.08210890233362, 81.10852549185529, 65.08210890233362, 60.628019323671495, 60.628019323671495, 82.59370960792762, 79.67581047381546, 62.77615673197165, 74.85265225933202, 78.33333333333333, 84.93975903614458, 84.93975903614458, 55.932203389830505, 66.44295302013423, 81.5028901734104, 66.44295302013423, 55.932203389830505, 55.932203389830505, 84.93975903614458, 78.33333333333333, 60.7361963190184, 
4, 77.79960707269156, 82.16989066442389, 84.18785006462731, 84.18785006462731, 65.86151368760065, 69.0295358649789, 83.16663119812725, 69.0295358649789, 65.86151368760065, 65.86151368760065, 84.18785006462731, 82.16989066442389, 67.40832303255047, 78.7819253438114, 81.63841807909604, 87.04819277108433, 87.04819277108433, 63.27683615819209, 72.25806451612904, 84.25655976676384, 72.25806451612904, 63.27683615819209, 63.27683615819209, 87.04819277108433, 81.63841807909604, 67.46987951807229, 
5, 78.61352792590513, 82.628714943491, 85.04954760878931, 85.04954760878931, 66.58615136876007, 70.44293015332198, 83.82165605095541, 70.44293015332198, 66.58615136876007, 66.58615136876007, 85.04954760878931, 82.628714943491, 68.46026490066227, 78.7819253438114, 83.73493975903614, 83.73493975903614, 83.73493975903614, 69.49152542372882, 69.49152542372882, 83.73493975903614, 69.49152542372882, 69.49152542372882, 69.49152542372882, 83.73493975903614, 83.73493975903614, 69.49152542372882, 
6, 79.23098512489474, 83.20033599328013, 85.35114174924601, 85.35114174924601, 67.7938808373591, 71.2351945854484, 84.26201616333475, 71.2351945854484, 67.7938808373591, 67.7938808373591, 85.35114174924601, 83.20033599328013, 69.47194719471949, 79.56777996070727, 83.52941176470588, 85.5421686746988, 85.5421686746988, 68.36158192090396, 71.59763313609467, 84.52380952380953, 71.59763313609467, 68.36158192090396, 68.36158192090396, 85.5421686746988, 83.52941176470588, 69.9421965317919, 
7, 79.82037608756666, 83.68376787216148, 85.73890564411892, 85.73890564411892, 68.76006441223832, 72.0675105485232, 84.6988721004469, 72.0675105485232, 68.76006441223832, 68.76006441223832, 85.73890564411892, 83.68376787216148, 70.3749484960857, 82.5147347740668, 84.61538461538461, 89.4578313253012, 89.4578313253012, 69.49152542372882, 77.84810126582279, 86.9692532942899, 77.84810126582279, 69.49152542372882, 69.49152542372882, 89.4578313253012, 84.61538461538461, 73.43283582089552, 
8, 81.13948919449902, 84.83312209547951, 86.51443343386471, 86.51443343386471, 71.09500805152979, 73.82943143812709, 85.66552901023891, 73.82943143812709, 71.09500805152979, 71.09500805152979, 86.51443343386471, 84.83312209547951, 72.43642329778507, 81.53241650294696, 83.05555555555556, 90.06024096385542, 90.06024096385542, 65.53672316384181, 77.85234899328859, 86.41618497109826, 77.85234899328859, 65.53672316384181, 65.53672316384181, 90.06024096385542, 83.05555555555556, 71.16564417177915, 
9, 82.14987370193657, 85.32494758909853, 87.67772511848341, 87.67772511848341, 71.81964573268921, 75.72156196943973, 86.48533786655332, 75.72156196943973, 71.81964573268921, 71.81964573268921, 87.67772511848341, 85.32494758909853, 73.71900826446283, 83.49705304518665, 85.83815028901734, 89.4578313253012, 89.4578313253012, 72.31638418079096, 78.52760736196319, 87.61061946902655, 78.52760736196319, 72.31638418079096, 72.31638418079096, 89.4578313253012, 85.83815028901734, 75.29411764705884, 
10, 82.43053606511367, 85.29779258642232, 88.2378285221887, 88.2378285221887, 71.57809983896941, 76.50602409638554, 86.74290554849638, 76.50602409638554, 71.57809983896941, 71.57809983896941, 88.2378285221887, 85.29779258642232, 73.96006655574044, 84.28290766208252, 86.41618497109826, 90.06024096385542, 90.06024096385542, 73.44632768361582, 79.75460122699387, 88.20058997050147, 79.75460122699387, 73.44632768361582, 73.44632768361582, 90.06024096385542, 86.41618497109826, 76.47058823529413, 
