Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 73.75806904294134, 77.67571884984025, 83.80008616975442, 83.80008616975442, 54.99194847020934, 64.49480642115203, 80.62176165803108, 64.49480642115203, 54.99194847020934, 54.99194847020934, 83.80008616975442, 77.67571884984025, 59.36549326379835, 80.94302554027504, 79.4486215538847, 95.48192771084338, 95.48192771084338, 53.67231638418079, 86.36363636363636, 86.73050615595075, 86.36363636363636, 53.67231638418079, 53.67231638418079, 95.48192771084338, 79.4486215538847, 66.20209059233449, 
2, 77.60314341846758, 80.20626735422451, 87.11762171477811, 87.11762171477811, 59.82286634460547, 71.30518234165068, 83.51920693928129, 71.30518234165068, 59.82286634460547, 59.82286634460547, 87.11762171477811, 80.20626735422451, 65.06129597197899, 83.1041257367387, 84.7457627118644, 90.36144578313252, 90.36144578313252, 69.49152542372882, 79.35483870967742, 87.46355685131194, 79.35483870967742, 69.49152542372882, 69.49152542372882, 90.36144578313252, 84.7457627118644, 74.09638554216868, 
3, 79.14678641594162, 81.78887993553586, 87.46230073244291, 87.46230073244291, 63.60708534621578, 73.0804810360777, 84.53050176972725, 73.0804810360777, 63.60708534621578, 63.60708534621578, 87.46230073244291, 81.78887993553586, 68.0154972018941, 85.0687622789784, 84.5945945945946, 94.27710843373494, 94.27710843373494, 67.79661016949153, 86.33093525179856, 89.17378917378916, 86.33093525179856, 67.79661016949153, 67.79661016949153, 94.27710843373494, 84.5945945945946, 75.9493670886076, 
4, 81.02722424922818, 83.36713995943205, 88.5394226626454, 88.5394226626454, 66.98872785829307, 75.77413479052824, 85.8754701211868, 75.77413479052824, 66.98872785829307, 66.98872785829307, 88.5394226626454, 83.36713995943205, 71.1111111111111, 86.44400785854617, 86.42659279778394, 93.97590361445783, 93.97590361445783, 72.31638418079096, 86.48648648648648, 90.04329004329004, 86.48648648648648, 72.31638418079096, 72.31638418079096, 93.97590361445783, 86.42659279778394, 78.76923076923076, 
5, 82.45860230143138, 84.66884709730172, 89.22878069797501, 89.22878069797501, 69.80676328502416, 77.61862130707252, 86.88902873924901, 77.61862130707252, 69.80676328502416, 69.80676328502416, 89.22878069797501, 84.66884709730172, 73.50572276388301, 88.21218074656188, 88.85714285714286, 93.67469879518072, 93.67469879518072, 77.96610169491525, 86.79245283018868, 91.20234604105573, 86.79245283018868, 77.96610169491525, 77.96610169491525, 93.67469879518072, 88.85714285714286, 82.14285714285715, 
6, 82.48666853774908, 84.6751123825092, 89.27186557518311, 89.27186557518311, 69.80676328502416, 77.68817204301075, 86.91275167785236, 77.68817204301075, 69.80676328502416, 69.80676328502416, 89.27186557518311, 84.6751123825092, 73.53689567430027, 89.3909626719057, 89.71428571428571, 94.57831325301204, 94.57831325301204, 79.66101694915254, 88.67924528301887, 92.08211143695014, 88.67924528301887, 79.66101694915254, 79.66101694915254, 94.57831325301204, 89.71428571428571, 83.92857142857143, 
7, 82.93572831883245, 85.14567090685269, 89.4011202068074, 89.4011202068074, 70.85346215780999, 78.15275310834814, 87.22152164775116, 78.15275310834814, 70.85346215780999, 70.85346215780999, 89.4011202068074, 85.14567090685269, 74.32432432432434, 88.21218074656188, 88.20224719101124, 94.57831325301204, 94.57831325301204, 76.27118644067797, 88.23529411764706, 91.27906976744185, 88.23529411764706, 76.27118644067797, 76.27118644067797, 94.57831325301204, 88.20224719101124, 81.81818181818181, 
8, 82.99186079146786, 85.30259365994236, 89.27186557518311, 89.27186557518311, 71.25603864734299, 78.04232804232804, 87.24210526315788, 78.04232804232804, 71.25603864734299, 71.25603864734299, 89.27186557518311, 85.30259365994236, 74.49494949494948, 88.8015717092338, 90.3225806451613, 92.7710843373494, 92.7710843373494, 81.35593220338983, 85.71428571428571, 91.53046062407132, 85.71428571428571, 81.35593220338983, 81.35593220338983, 92.7710843373494, 90.3225806451613, 83.47826086956522, 
9, 85.18102722424923, 87.18374118622978, 90.5644118914261, 90.5644118914261, 75.1207729468599, 80.98958333333333, 88.84192730346577, 80.98958333333333, 75.1207729468599, 75.1207729468599, 90.5644118914261, 87.18374118622978, 77.94486215538846, 83.88998035363457, 88.10975609756098, 87.04819277108433, 87.04819277108433, 77.96610169491525, 76.24309392265194, 87.57575757575758, 76.24309392265194, 77.96610169491525, 77.96610169491525, 87.04819277108433, 88.10975609756098, 77.09497206703911, 
10, 85.6581532416503, 87.55186721991701, 90.9090909090909, 90.9090909090909, 75.84541062801932, 81.69991326973114, 89.19890086662438, 81.69991326973114, 75.84541062801932, 75.84541062801932, 90.9090909090909, 87.55186721991701, 78.66388308977035, 88.40864440078585, 87.81163434903047, 95.48192771084338, 95.48192771084338, 75.14124293785311, 89.86486486486487, 91.48629148629148, 89.86486486486487, 75.14124293785311, 75.14124293785311, 95.48192771084338, 87.81163434903047, 81.84615384615384, 
11, 85.99494807746281, 87.70695364238411, 91.29685480396381, 91.29685480396381, 76.08695652173913, 82.38884045335658, 89.46590669199915, 82.38884045335658, 76.08695652173913, 76.08695652173913, 91.29685480396381, 87.70695364238411, 79.11259941398073, 88.01571709233792, 87.12328767123287, 95.78313253012048, 95.78313253012048, 73.44632768361582, 90.27777777777777, 91.24820659971306, 90.27777777777777, 73.44632768361582, 73.44632768361582, 95.78313253012048, 87.12328767123287, 80.99688473520249, 
