Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 67.75280898876404, 74.70439189189189, 76.3157894736842, 76.3157894736842, 51.77133655394525, 53.942953020134226, 75.50149381135296, 53.942953020134226, 51.77133655394525, 51.77133655394525, 76.3157894736842, 74.70439189189189, 52.83483976992605, 73.81889763779527, 82.41042345276873, 76.20481927710843, 76.20481927710843, 69.31818181818181, 60.69651741293532, 79.18622848200312, 60.69651741293532, 69.31818181818181, 69.31818181818181, 76.20481927710843, 82.41042345276873, 64.72148541114058, 
2, 73.31460674157303, 78.86967524251371, 80.63820612332903, 80.63820612332903, 59.6293311845286, 62.23717409587889, 79.74413646055437, 62.23717409587889, 59.6293311845286, 59.6293311845286, 80.63820612332903, 78.86967524251371, 60.905349794238674, 79.7244094488189, 80.05249343832021, 91.86746987951807, 91.86746987951807, 56.81818181818182, 78.74015748031496, 85.55399719495091, 78.74015748031496, 56.81818181818182, 56.81818181818182, 91.86746987951807, 80.05249343832021, 66.006600660066, 
3, 76.23595505617978, 80.7772670288341, 83.35489435101337, 83.35489435101337, 62.9331184528606, 66.92373607540702, 82.0458404074703, 66.92373607540702, 62.9331184528606, 62.9331184528606, 83.35489435101337, 80.7772670288341, 64.8671096345515, 78.93700787401575, 84.40366972477064, 83.13253012048193, 83.13253012048193, 71.02272727272727, 69.06077348066299, 83.76327769347498, 69.06077348066299, 71.02272727272727, 71.02272727272727, 83.13253012048193, 84.40366972477064, 70.02801120448179, 
4, 76.88202247191012, 81.58783783783784, 83.3117723156533, 83.3117723156533, 64.86704270749395, 67.53355704697987, 82.4407936846597, 67.53355704697987, 64.86704270749395, 64.86704270749395, 83.3117723156533, 81.58783783783784, 66.17344841759146, 82.8740157480315, 85.71428571428571, 88.55421686746988, 88.55421686746988, 72.1590909090909, 76.96969696969697, 87.1111111111111, 76.96969696969697, 72.1590909090909, 72.1590909090909, 88.55421686746988, 85.71428571428571, 74.48680351906158, 
5, 80.08426966292134, 83.81672971836906, 86.02243313201035, 86.02243313201035, 69.00161030595814, 72.56562235393734, 84.90525867575047, 72.56562235393734, 69.00161030595814, 69.00161030595814, 86.02243313201035, 83.81672971836906, 70.73875361122575, 82.48031496062993, 83.28767123287672, 91.56626506024097, 91.56626506024097, 65.3409090909091, 80.41958041958041, 87.23098995695841, 80.41958041958041, 65.3409090909091, 65.3409090909091, 91.56626506024097, 83.28767123287672, 72.10031347962384, 
6, 79.57865168539325, 83.52296670880742, 85.50474547023296, 85.50474547023296, 68.51851851851852, 71.6933445661331, 84.50223832871455, 71.6933445661331, 68.51851851851852, 68.51851851851852, 85.50474547023296, 83.52296670880742, 70.06998764923837, 83.26771653543307, 86.00583090379008, 88.855421686747, 88.855421686747, 72.72727272727273, 77.57575757575758, 87.4074074074074, 77.57575757575758, 72.72727272727273, 72.72727272727273, 88.855421686747, 86.00583090379008, 75.0733137829912, 
7, 80.95505617977527, 84.40251572327044, 86.80465717981889, 86.80465717981889, 70.02417405318292, 73.95744680851064, 85.58673469387756, 73.95744680851064, 70.02417405318292, 70.02417405318292, 86.80465717981889, 84.40251572327044, 71.93708609271522, 85.43307086614173, 88.16568047337279, 89.75903614457832, 89.75903614457832, 77.27272727272727, 80.0, 88.95522388059702, 80.0, 77.27272727272727, 77.27272727272727, 89.75903614457832, 88.16568047337279, 78.61271676300578, 
8, 81.8820224719101, 84.90408673894912, 87.79646399310047, 87.79646399310047, 70.82997582594682, 75.64543889845095, 86.32605469578121, 75.64543889845095, 70.82997582594682, 70.82997582594682, 87.79646399310047, 84.90408673894912, 73.15855181023721, 84.64566929133859, 88.25301204819277, 88.25301204819277, 88.25301204819277, 77.8409090909091, 77.8409090909091, 88.25301204819277, 77.8409090909091, 77.8409090909091, 77.8409090909091, 88.25301204819277, 88.25301204819277, 77.8409090909091, 
9, 81.74157303370787, 85.07776376628836, 87.27899956877965, 87.27899956877965, 71.39403706688155, 75.02116850127011, 86.16432524478502, 75.02116850127011, 71.39403706688155, 71.39403706688155, 87.27899956877965, 85.07776376628836, 73.16267547481421, 86.22047244094489, 89.9390243902439, 88.855421686747, 88.855421686747, 81.25, 79.44444444444444, 89.3939393939394, 79.44444444444444, 81.25, 81.25, 88.855421686747, 89.9390243902439, 80.3370786516854, 
10, 83.82022471910112, 86.51026392961877, 89.04700301854247, 89.04700301854247, 74.05318291700242, 78.3461210571185, 87.7603059923502, 78.3461210571185, 74.05318291700242, 74.05318291700242, 89.04700301854247, 86.51026392961877, 76.13918806959403, 86.41732283464567, 89.72809667673717, 89.4578313253012, 89.4578313253012, 80.68181818181819, 80.22598870056497, 89.59276018099548, 80.22598870056497, 80.68181818181819, 80.68181818181819, 89.4578313253012, 89.72809667673717, 80.45325779036827, 
11, 82.97752808988764, 85.97228055438892, 88.27080638206124, 88.27080638206124, 73.08622078968574, 76.92960135708228, 87.10638297872342, 76.92960135708228, 73.08622078968574, 73.08622078968574, 88.27080638206124, 85.97228055438892, 74.95867768595042, 87.99212598425197, 89.97050147492625, 91.86746987951807, 91.86746987951807, 80.68181818181819, 84.02366863905326, 90.9090909090909, 84.02366863905326, 80.68181818181819, 80.68181818181819, 91.86746987951807, 89.97050147492625, 82.31884057971014, 
12, 83.98876404494382, 86.41666666666667, 89.47368421052632, 89.47368421052632, 73.75201288244766, 78.96551724137932, 87.91860958033064, 78.96551724137932, 73.75201288244766, 73.75201288244766, 89.47368421052632, 86.41666666666667, 76.26977518734388, 86.61417322834646, 85.67567567567568, 95.48192771084338, 95.48192771084338, 69.88636363636364, 89.1304347826087, 90.31339031339031, 89.1304347826087, 69.88636363636364, 69.88636363636364, 95.48192771084338, 85.67567567567568, 78.34394904458598, 
13, 85.78651685393258, 87.95483061480552, 90.6074967686342, 90.6074967686342, 76.75544794188862, 81.35158254918734, 89.26146010186757, 81.35158254918734, 76.75544794188862, 76.75544794188862, 90.6074967686342, 87.95483061480552, 78.98671096345515, 88.18897637795276, 89.08045977011494, 93.37349397590361, 93.37349397590361, 78.4090909090909, 86.25, 91.1764705882353, 86.25, 78.4090909090909, 78.4090909090909, 93.37349397590361, 89.08045977011494, 82.14285714285715, 
14, 84.57865168539325, 87.12788259958072, 89.56896551724138, 89.56896551724138, 75.24193548387096, 79.40425531914893, 88.33156216790647, 79.40425531914893, 75.24193548387096, 75.24193548387096, 89.56896551724138, 87.12788259958072, 77.26708074534162, 86.81102362204724, 88.40579710144928, 91.86746987951807, 91.86746987951807, 77.27272727272727, 83.43558282208589, 90.10339734121123, 83.43558282208589, 77.27272727272727, 77.27272727272727, 91.86746987951807, 88.40579710144928, 80.23598820058997, 
15, 84.74719101123596, 87.123745819398, 89.86632169038378, 89.86632169038378, 75.18130539887187, 79.88013698630137, 88.4737847590745, 79.88013698630137, 75.18130539887187, 75.18130539887187, 89.86632169038378, 87.123745819398, 77.45952677459526, 87.20472440944881, 87.1866295264624, 94.27710843373494, 94.27710843373494, 73.86363636363636, 87.24832214765101, 90.59334298118668, 87.24832214765101, 73.86363636363636, 73.86363636363636, 94.27710843373494, 87.1866295264624, 80.0, 
16, 85.25280898876404, 87.6258389261745, 90.08193186718412, 90.08193186718412, 76.22884770346495, 80.4421768707483, 88.836912608973, 80.4421768707483, 76.22884770346495, 76.22884770346495, 90.08193186718412, 87.6258389261745, 78.27885808853952, 87.20472440944881, 87.1866295264624, 94.27710843373494, 94.27710843373494, 73.86363636363636, 87.24832214765101, 90.59334298118668, 87.24832214765101, 73.86363636363636, 73.86363636363636, 94.27710843373494, 87.1866295264624, 80.0, 
