Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 82.8234633735616, 83.86841062227506, 91.1676001723395, 91.1676001723395, 67.23027375201288, 80.28846153846153, 87.36581337737407, 80.28846153846153, 67.23027375201288, 67.23027375201288, 91.1676001723395, 83.86841062227506, 73.18141980718667, 86.83693516699411, 92.88025889967638, 86.44578313253012, 86.44578313253012, 87.57062146892656, 77.5, 89.54758190327614, 77.5, 87.57062146892656, 87.57062146892656, 86.44578313253012, 92.88025889967638, 82.22811671087533, 
2, 88.88577041818692, 90.12088370154231, 93.1495045239121, 93.1495045239121, 80.91787439613526, 86.34020618556701, 91.61016949152541, 86.34020618556701, 80.91787439613526, 80.91787439613526, 93.1495045239121, 90.12088370154231, 83.54114713216957, 86.64047151277013, 94.29530201342281, 84.63855421686748, 84.63855421686748, 90.3954802259887, 75.82938388625593, 89.20634920634922, 75.82938388625593, 90.3954802259887, 90.3954802259887, 84.63855421686748, 94.29530201342281, 82.47422680412372, 
3, 90.34521470670784, 91.41181399245916, 94.01120206807411, 94.01120206807411, 83.49436392914654, 88.18027210884354, 92.69328802039082, 88.18027210884354, 83.49436392914654, 83.49436392914654, 94.01120206807411, 91.41181399245916, 85.77336641852771, 88.40864440078585, 94.1747572815534, 87.65060240963855, 87.65060240963855, 89.83050847457628, 79.5, 90.79563182527302, 79.5, 89.83050847457628, 89.83050847457628, 87.65060240963855, 94.1747572815534, 84.35013262599469, 
4, 90.20488352511929, 91.53327716933445, 93.62343817320121, 93.62343817320121, 83.81642512077295, 87.55256518082422, 92.56656017039404, 87.55256518082422, 83.81642512077295, 83.81642512077295, 93.62343817320121, 91.53327716933445, 85.64376799670917, 88.60510805500982, 93.91025641025641, 88.25301204819277, 88.25301204819277, 89.26553672316385, 80.20304568527919, 90.99378881987577, 80.20304568527919, 89.26553672316385, 89.26553672316385, 88.25301204819277, 93.91025641025641, 84.49197860962569, 
5, 91.18720179623912, 92.32391396035428, 94.31279620853081, 94.31279620853081, 85.34621578099839, 88.9261744966443, 93.307757885763, 88.9261744966443, 85.34621578099839, 85.34621578099839, 94.31279620853081, 92.32391396035428, 87.09942481511915, 89.78388998035363, 92.94478527607362, 91.26506024096386, 91.26506024096386, 87.00564971751412, 84.15300546448087, 92.09726443768997, 84.15300546448087, 87.00564971751412, 87.00564971751412, 91.26506024096386, 92.94478527607362, 85.55555555555556, 
6, 91.35559921414537, 92.88453344695355, 93.92503231365791, 93.92503231365791, 86.55394524959742, 88.40460526315789, 93.40188517566409, 88.40460526315789, 86.55394524959742, 86.55394524959742, 93.92503231365791, 92.88453344695355, 87.46948738812041, 87.42632612966601, 96.20689655172414, 84.03614457831326, 84.03614457831326, 93.78531073446328, 75.79908675799086, 89.71061093247589, 75.79908675799086, 93.78531073446328, 93.78531073446328, 84.03614457831326, 96.20689655172414, 83.83838383838383, 
7, 90.31714847039012, 91.68776371308017, 93.62343817320121, 93.62343817320121, 84.13848631239935, 87.59430008382229, 92.6454913664464, 87.59430008382229, 84.13848631239935, 84.13848631239935, 93.62343817320121, 91.68776371308017, 85.83162217659137, 88.8015717092338, 87.87878787878788, 96.08433734939759, 96.08433734939759, 75.14124293785311, 91.0958904109589, 91.79856115107913, 91.0958904109589, 75.14124293785311, 75.14124293785311, 96.08433734939759, 87.87878787878788, 82.35294117647058, 
8, 90.48554588829639, 91.60369437447523, 94.01120206807411, 94.01120206807411, 83.89694041867955, 88.2303132938188, 92.79183499893685, 88.2303132938188, 83.89694041867955, 83.89694041867955, 94.01120206807411, 91.60369437447523, 86.00907965332233, 88.99803536345776, 93.125, 89.75903614457832, 89.75903614457832, 87.57062146892656, 82.01058201058201, 91.4110429447853, 82.01058201058201, 87.57062146892656, 87.57062146892656, 89.75903614457832, 93.125, 84.69945355191257, 
9, 90.71007577883806, 91.91238416175231, 94.01120206807411, 94.01120206807411, 84.54106280193237, 88.30950378469302, 92.94994675186369, 88.30950378469302, 84.54106280193237, 84.54106280193237, 94.01120206807411, 91.91238416175231, 86.38420403126285, 89.78388998035363, 92.6829268292683, 91.56626506024097, 91.56626506024097, 86.44067796610169, 84.5303867403315, 92.12121212121212, 84.5303867403315, 86.44067796610169, 86.44067796610169, 91.56626506024097, 92.6829268292683, 85.47486033519553, 
10, 90.06455234353074, 91.20234604105572, 93.7957776820336, 93.7957776820336, 83.09178743961353, 87.75510204081633, 92.48088360237892, 87.75510204081633, 83.09178743961353, 83.09178743961353, 93.7957776820336, 91.20234604105572, 85.35980148883374, 89.3909626719057, 87.56756756756756, 97.59036144578313, 97.59036144578313, 74.01129943502825, 94.24460431654676, 92.3076923076923, 94.24460431654676, 74.01129943502825, 74.01129943502825, 97.59036144578313, 87.56756756756756, 82.91139240506328, 
