Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 81.48876404494382, 82.91038858049167, 90.16817593790427, 90.16817593790427, 65.26994359387591, 78.03468208092485, 86.38711010121875, 78.03468208092485, 65.26994359387591, 65.26994359387591, 90.16817593790427, 82.91038858049167, 71.08380868802107, 86.81102362204724, 84.7769028871391, 97.28915662650603, 97.28915662650603, 67.04545454545455, 92.91338582677166, 90.60308555399719, 92.91338582677166, 67.04545454545455, 67.04545454545455, 97.28915662650603, 84.7769028871391, 77.88778877887789, 
2, 86.76966292134831, 87.89495281083299, 92.40724762726488, 92.40724762726488, 76.24798711755234, 84.32769367764915, 90.09463722397476, 84.32769367764915, 76.24798711755234, 76.24798711755234, 92.40724762726488, 87.89495281083299, 80.0845665961945, 88.38582677165354, 87.60330578512396, 95.78313253012048, 95.78313253012048, 74.43181818181819, 90.34482758620689, 91.51079136690647, 90.34482758620689, 74.43181818181819, 74.43181818181819, 95.78313253012048, 87.60330578512396, 81.61993769470405, 
3, 86.57303370786516, 87.89625360230548, 92.06554549374731, 92.06554549374731, 76.30942788074134, 83.73121131741821, 89.93260320134793, 83.73121131741821, 76.30942788074134, 76.30942788074134, 92.06554549374731, 87.89625360230548, 79.84822934232716, 89.1732283464567, 89.01408450704226, 95.18072289156626, 95.18072289156626, 77.8409090909091, 89.54248366013071, 91.99417758369724, 89.54248366013071, 77.8409090909091, 77.8409090909091, 95.18072289156626, 89.01408450704226, 83.28267477203649, 
4, 87.9494382022472, 89.37942523948355, 92.5, 92.5, 79.43548387096774, 84.98705780845556, 90.91294217326838, 84.98705780845556, 79.43548387096774, 79.43548387096774, 92.5, 89.37942523948355, 82.11754897874115, 88.58267716535433, 90.05847953216374, 92.7710843373494, 92.7710843373494, 80.68181818181819, 85.5421686746988, 91.3946587537092, 85.5421686746988, 80.68181818181819, 80.68181818181819, 92.7710843373494, 90.05847953216374, 83.04093567251462, 
5, 88.82022471910112, 90.17147636971978, 92.97110823630875, 92.97110823630875, 81.06365834004835, 86.05645851154833, 91.54989384288747, 86.05645851154833, 81.06365834004835, 81.06365834004835, 92.97110823630875, 90.17147636971978, 83.48547717842324, 86.22047244094489, 82.75, 99.6987951807229, 99.6987951807229, 60.79545454545455, 99.07407407407408, 90.43715846994536, 99.07407407407408, 60.79545454545455, 60.79545454545455, 99.6987951807229, 82.75, 75.35211267605634, 
6, 88.56741573033707, 89.97074801504388, 92.80172413793103, 92.80172413793103, 80.64516129032258, 85.6898029134533, 91.36431147888817, 85.6898029134533, 80.64516129032258, 80.64516129032258, 92.80172413793103, 89.97074801504388, 83.09098462816785, 84.25196850393701, 95.65217391304348, 79.51807228915662, 79.51807228915662, 93.18181818181819, 70.6896551724138, 86.84210526315789, 70.6896551724138, 93.18181818181819, 93.18181818181819, 79.51807228915662, 95.65217391304348, 80.3921568627451, 
7, 88.84831460674157, 89.90863787375416, 93.35920655454937, 93.35920655454937, 80.41901692183723, 86.63194444444444, 91.60143854453142, 86.63194444444444, 80.41901692183723, 80.41901692183723, 93.35920655454937, 89.90863787375416, 83.4099456748851, 89.37007874015748, 89.94252873563218, 94.27710843373494, 94.27710843373494, 80.11363636363636, 88.125, 92.05882352941175, 88.125, 80.11363636363636, 80.11363636363636, 94.27710843373494, 89.94252873563218, 83.92857142857142, 
8, 89.9438202247191, 90.93945720250522, 93.91979301423027, 93.91979301423027, 82.51410153102337, 87.8969957081545, 92.40560033941452, 87.8969957081545, 82.51410153102337, 82.51410153102337, 93.91979301423027, 90.93945720250522, 85.12053200332504, 87.20472440944881, 94.35215946843854, 85.5421686746988, 85.5421686746988, 90.3409090909091, 76.81159420289855, 89.73143759873619, 76.81159420289855, 90.3409090909091, 90.3409090909091, 85.5421686746988, 94.35215946843854, 83.02872062663185, 
9, 89.18539325842697, 90.59613769941225, 93.05735230702889, 93.05735230702889, 81.95004029008864, 86.33276740237692, 91.8102531376303, 86.33276740237692, 81.95004029008864, 81.95004029008864, 93.05735230702889, 90.59613769941225, 84.08433236874741, 79.7244094488189, 94.90196078431373, 72.89156626506023, 72.89156626506023, 92.61363636363636, 64.42687747035573, 82.45315161839865, 64.42687747035573, 92.61363636363636, 92.61363636363636, 72.89156626506023, 94.90196078431373, 75.990675990676, 
10, 89.8314606741573, 90.78398665554629, 93.91716997411562, 93.91716997411562, 82.2061191626409, 87.8657487091222, 92.32400339270568, 87.8657487091222, 82.2061191626409, 82.2061191626409, 93.91716997411562, 90.78398665554629, 84.94176372712147, 89.76377952755905, 89.32584269662921, 95.78313253012048, 95.78313253012048, 78.4090909090909, 90.78947368421052, 92.44186046511629, 90.78947368421052, 78.4090909090909, 78.4090909090909, 95.78313253012048, 89.32584269662921, 84.14634146341463, 
11, 90.0561797752809, 91.01921470342523, 94.00345125107852, 94.00345125107852, 82.68921095008052, 88.07890222984562, 92.48726655348048, 88.07890222984562, 82.68921095008052, 82.68921095008052, 94.00345125107852, 91.01921470342523, 85.29900332225915, 89.76377952755905, 88.88888888888889, 96.3855421686747, 96.3855421686747, 77.27272727272727, 91.89189189189189, 92.48554913294798, 91.89189189189189, 77.27272727272727, 77.27272727272727, 96.3855421686747, 88.88888888888889, 83.9506172839506, 
12, 90.11235955056179, 91.23322147651007, 93.83088869715272, 93.83088869715272, 83.17230273752013, 87.84013605442176, 92.51382390472139, 87.84013605442176, 83.17230273752013, 83.17230273752013, 93.83088869715272, 91.23322147651007, 85.44251447477254, 88.77952755905511, 90.08746355685132, 93.07228915662651, 93.07228915662651, 80.68181818181819, 86.06060606060606, 91.55555555555556, 86.06060606060606, 80.68181818181819, 80.68181818181819, 93.07228915662651, 90.08746355685132, 83.28445747800586, 
13, 90.2247191011236, 91.04912572855953, 94.26724137931035, 94.26724137931035, 82.66129032258064, 88.5146804835924, 92.6302414231258, 88.5146804835924, 82.66129032258064, 82.66129032258064, 94.26724137931035, 91.04912572855953, 85.48790658882402, 89.96062992125984, 90.25787965616045, 94.87951807228916, 94.87951807228916, 80.68181818181819, 89.30817610062893, 92.51101321585902, 89.30817610062893, 80.68181818181819, 80.68181818181819, 94.87951807228916, 90.25787965616045, 84.77611940298507, 
14, 90.50561797752809, 91.49560117302053, 94.17852522639069, 94.17852522639069, 83.64222401289283, 88.49104859335038, 92.81767955801105, 88.49104859335038, 83.64222401289283, 83.64222401289283, 94.17852522639069, 91.49560117302053, 85.9983429991715, 89.1732283464567, 87.73841961852861, 96.98795180722891, 96.98795180722891, 74.43181818181819, 92.90780141843972, 92.1316165951359, 92.90780141843972, 74.43181818181819, 74.43181818181819, 96.98795180722891, 87.73841961852861, 82.64984227129338, 
15, 90.50561797752809, 91.63162321278385, 94.00345125107852, 94.00345125107852, 83.97745571658615, 88.24027072758037, 92.80238500851789, 88.24027072758037, 83.97745571658615, 83.97745571658615, 94.00345125107852, 91.63162321278385, 86.05610561056103, 89.56692913385827, 87.6010781671159, 97.89156626506023, 97.89156626506023, 73.86363636363636, 94.8905109489051, 92.46088193456615, 94.8905109489051, 73.86363636363636, 73.86363636363636, 97.89156626506023, 87.6010781671159, 83.06709265175718, 
