Phase:, , , , , , , , Train , , , , , , , , , , , , Val
Epoch:, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, Acc, Negative_Precision, Negative_Recall, Negative_Sensitivity, Negative_Specificity, Negative_NPV, Negative_F1_score, Positive_Precision, Positive_Recall, Positive_Sensitivity, Positive_Specificity, Positive_NPV, Positive_F1_score, 
1, 67.30337078651687, 66.63785652549697, 99.74126778783959, 99.74126778783959, 6.688154713940371, 93.25842696629213, 79.89637305699482, 93.25842696629213, 6.688154713940371, 6.688154713940371, 99.74126778783959, 66.63785652549697, 12.481203007518797, 74.21259842519686, 71.8004338394794, 99.6987951807229, 99.6987951807229, 26.136363636363637, 97.87234042553192, 83.48045397225727, 97.87234042553192, 26.136363636363637, 26.136363636363637, 99.6987951807229, 71.8004338394794, 41.255605381165914, 
2, 78.73595505617978, 78.08564231738035, 93.61518550474547, 93.61518550474547, 50.966183574879224, 81.04993597951345, 85.14812634883265, 81.04993597951345, 50.966183574879224, 50.966183574879224, 93.61518550474547, 78.08564231738035, 62.580326248146314, 86.41732283464567, 86.22589531680441, 94.27710843373494, 94.27710843373494, 71.5909090909091, 86.89655172413794, 90.07194244604318, 86.89655172413794, 71.5909090909091, 71.5909090909091, 94.27710843373494, 86.22589531680441, 78.50467289719627, 
3, 82.78089887640449, 84.56239870340356, 89.995687796464, 89.995687796464, 69.2989524576954, 78.75457875457876, 87.19448506371421, 78.75457875457876, 69.2989524576954, 69.2989524576954, 89.995687796464, 84.56239870340356, 73.72481783111874, 88.58267716535433, 87.63736263736264, 96.08433734939759, 96.08433734939759, 74.43181818181819, 90.97222222222223, 91.66666666666667, 90.97222222222223, 74.43181818181819, 74.43181818181819, 96.08433734939759, 87.63736263736264, 81.87500000000001, 
4, 84.5505617977528, 85.78947368421052, 91.41501294219154, 91.41501294219154, 71.73913043478261, 81.74311926605505, 88.51294903926481, 81.74311926605505, 71.73913043478261, 71.73913043478261, 91.41501294219154, 85.78947368421052, 76.41509433962264, 88.38582677165354, 87.60330578512396, 95.78313253012048, 95.78313253012048, 74.43181818181819, 90.34482758620689, 91.51079136690647, 90.34482758620689, 74.43181818181819, 74.43181818181819, 95.78313253012048, 87.60330578512396, 81.61993769470405, 
5, 85.42134831460673, 86.65038665038665, 91.76724137931035, 91.76724137931035, 73.54838709677419, 82.68359020852222, 89.13544065312958, 82.68359020852222, 73.54838709677419, 73.54838709677419, 91.76724137931035, 86.65038665038665, 77.84891165172856, 87.00787401574803, 86.94444444444444, 94.27710843373494, 94.27710843373494, 73.29545454545455, 87.16216216216216, 90.46242774566473, 87.16216216216216, 73.29545454545455, 73.29545454545455, 94.27710843373494, 86.94444444444444, 79.62962962962963, 
6, 86.37640449438202, 87.61279737489745, 92.10866752910738, 92.10866752910738, 75.66478646253022, 83.68983957219251, 89.8044986335926, 83.68983957219251, 75.66478646253022, 75.66478646253022, 92.10866752910738, 87.61279737489745, 79.47524333474398, 88.77952755905511, 88.08864265927978, 95.78313253012048, 95.78313253012048, 75.56818181818181, 90.47619047619048, 91.77489177489178, 90.47619047619048, 75.56818181818181, 75.56818181818181, 95.78313253012048, 88.08864265927978, 82.35294117647058, 
7, 87.02247191011236, 87.98037612428455, 92.75862068965517, 92.75862068965517, 76.29032258064517, 84.91921005385997, 90.3063365505665, 84.91921005385997, 76.29032258064517, 76.29032258064517, 92.75862068965517, 87.98037612428455, 80.37383177570094, 89.76377952755905, 87.83783783783784, 97.89156626506023, 97.89156626506023, 74.43181818181819, 94.92753623188406, 92.5925925925926, 94.92753623188406, 74.43181818181819, 74.43181818181819, 97.89156626506023, 87.83783783783784, 83.43949044585989, 
8, 87.80898876404495, 88.89806025588113, 92.88486416558861, 92.88486416558861, 78.32393231265108, 85.48812664907652, 90.84774356811471, 85.48812664907652, 78.32393231265108, 78.32393231265108, 92.88486416558861, 88.89806025588113, 81.74936921783011, 85.8267716535433, 89.63414634146342, 88.55421686746988, 88.55421686746988, 80.68181818181819, 78.88888888888889, 89.09090909090908, 78.88888888888889, 80.68181818181819, 80.68181818181819, 88.55421686746988, 89.63414634146342, 79.7752808988764, 
9, 88.28651685393258, 89.69115191986644, 92.66925398878827, 92.66925398878827, 80.09669621273167, 85.39518900343643, 91.15588547189819, 85.39518900343643, 80.09669621273167, 80.09669621273167, 92.66925398878827, 89.69115191986644, 82.66112266112266, 88.38582677165354, 87.60330578512396, 95.78313253012048, 95.78313253012048, 74.43181818181819, 90.34482758620689, 91.51079136690647, 90.34482758620689, 74.43181818181819, 74.43181818181819, 95.78313253012048, 87.60330578512396, 81.61993769470405, 
10, 88.20224719101124, 89.22822946760215, 93.1495045239121, 93.1495045239121, 78.93462469733656, 86.01583113456465, 91.14671163575042, 86.01583113456465, 78.93462469733656, 78.93462469733656, 93.1495045239121, 89.22822946760215, 82.32323232323232, 89.56692913385827, 90.67055393586006, 93.67469879518072, 93.67469879518072, 81.81818181818181, 87.27272727272727, 92.14814814814815, 87.27272727272727, 81.81818181818181, 81.81818181818181, 93.67469879518072, 90.67055393586006, 84.45747800586508, 
11, 89.18539325842697, 90.53204859656472, 93.14655172413794, 93.14655172413794, 81.7741935483871, 86.44501278772378, 91.82069258551093, 86.44501278772378, 81.7741935483871, 81.7741935483871, 93.14655172413794, 90.53204859656472, 84.04475756319934, 88.58267716535433, 92.54658385093168, 89.75903614457832, 89.75903614457832, 86.36363636363636, 81.72043010752688, 91.13149847094802, 81.72043010752688, 86.36363636363636, 86.36363636363636, 89.75903614457832, 92.54658385093168, 83.97790055248619, 
12, 89.24157303370787, 90.60402684563758, 93.14359637774903, 93.14359637774903, 81.95004029008864, 86.4795918367347, 91.85626196045078, 86.4795918367347, 81.95004029008864, 81.95004029008864, 93.14359637774903, 90.60402684563758, 84.15390980554407, 88.58267716535433, 91.51515151515152, 90.96385542168674, 90.96385542168674, 84.0909090909091, 83.14606741573034, 91.23867069486404, 83.14606741573034, 84.0909090909091, 84.0909090909091, 90.96385542168674, 91.51515151515152, 83.61581920903954, 
13, 89.8876404494382, 90.89770354906054, 93.87667097887021, 93.87667097887021, 82.43352135374698, 87.81115879828326, 92.36317352566823, 87.81115879828326, 82.43352135374698, 82.43352135374698, 93.87667097887021, 90.89770354906054, 85.03740648379052, 90.15748031496062, 90.28571428571429, 95.18072289156626, 95.18072289156626, 80.68181818181819, 89.87341772151899, 92.66862170087975, 89.87341772151899, 80.68181818181819, 80.68181818181819, 95.18072289156626, 90.28571428571429, 85.02994011976047, 
14, 89.97191011235955, 91.25315391084945, 93.57481673134971, 93.57481673134971, 83.23932312651088, 87.39424703891709, 92.3994038748137, 87.39424703891709, 83.23932312651088, 83.23932312651088, 93.57481673134971, 91.25315391084945, 85.26619892695005, 88.77952755905511, 87.26287262872629, 96.98795180722891, 96.98795180722891, 73.29545454545455, 92.80575539568345, 91.86875891583452, 92.80575539568345, 73.29545454545455, 73.29545454545455, 96.98795180722891, 87.26287262872629, 81.9047619047619, 
15, 89.8314606741573, 90.62240663900415, 94.13793103448276, 94.13793103448276, 81.7741935483871, 88.17391304347827, 92.34672304439748, 88.17391304347827, 81.7741935483871, 81.7741935483871, 94.13793103448276, 90.62240663900415, 84.85355648535567, 87.20472440944881, 92.65175718849841, 87.34939759036145, 87.34939759036145, 86.93181818181819, 78.46153846153847, 89.92248062015504, 78.46153846153847, 86.93181818181819, 86.93181818181819, 87.34939759036145, 92.65175718849841, 82.47978436657684, 
16, 91.32022471910113, 92.05020920502092, 94.8684777921518, 94.8684777921518, 84.6897663174859, 89.82905982905983, 93.43809726056487, 89.82905982905983, 84.6897663174859, 84.6897663174859, 94.8684777921518, 92.05020920502092, 87.18374118622978, 90.35433070866141, 92.23880597014926, 93.07228915662651, 93.07228915662651, 85.22727272727273, 86.70520231213872, 92.6536731634183, 86.70520231213872, 85.22727272727273, 85.22727272727273, 93.07228915662651, 92.23880597014926, 85.9598853868195, 
17, 90.56179775280899, 91.68067226890756, 94.05172413793103, 94.05172413793103, 84.03225806451613, 88.30508474576271, 92.85106382978722, 88.30508474576271, 84.03225806451613, 84.03225806451613, 94.05172413793103, 91.68067226890756, 86.11570247933884, 90.74803149606299, 90.83094555873926, 95.48192771084338, 95.48192771084338, 81.81818181818181, 90.56603773584905, 93.09838472834069, 90.56603773584905, 81.81818181818181, 81.81818181818181, 95.48192771084338, 90.83094555873926, 85.97014925373134, 
18, 91.17977528089888, 92.31743351625158, 94.30789133247089, 94.30789133247089, 85.33440773569701, 88.91687657430731, 93.30204778156997, 88.91687657430731, 85.33440773569701, 85.33440773569701, 94.30789133247089, 92.31743351625158, 87.0888157894737, 89.1732283464567, 91.34328358208955, 92.16867469879519, 92.16867469879519, 83.52272727272727, 84.97109826589596, 91.75412293853074, 84.97109826589596, 83.52272727272727, 83.52272727272727, 92.16867469879519, 91.34328358208955, 84.24068767908308, 
19, 91.06741573033707, 91.77453027139875, 94.78223372143165, 94.78223372143165, 84.12570507655117, 89.6137339055794, 93.25413661434025, 89.6137339055794, 84.12570507655117, 84.12570507655117, 94.78223372143165, 91.77453027139875, 86.78304239401497, 89.76377952755905, 91.17647058823529, 93.37349397590361, 93.37349397590361, 82.95454545454545, 86.9047619047619, 92.26190476190476, 86.9047619047619, 82.95454545454545, 82.95454545454545, 93.37349397590361, 91.17647058823529, 84.88372093023256, 
20, 91.76966292134831, 92.67368421052632, 94.87068965517241, 94.87068965517241, 85.96774193548387, 89.957805907173, 93.75931842385516, 89.957805907173, 85.96774193548387, 85.96774193548387, 94.87068965517241, 92.67368421052632, 87.91752577319588, 89.76377952755905, 91.42011834319527, 93.07228915662651, 93.07228915662651, 83.52272727272727, 86.47058823529412, 92.23880597014926, 86.47058823529412, 83.52272727272727, 83.52272727272727, 93.07228915662651, 91.42011834319527, 84.97109826589596, 
21, 91.01123595505618, 91.84100418410041, 94.61206896551724, 94.61206896551724, 84.2741935483871, 89.31623931623932, 93.20594479830149, 89.31623931623932, 84.2741935483871, 84.2741935483871, 94.61206896551724, 91.84100418410041, 86.72199170124483, 90.15748031496062, 92.21556886227545, 92.7710843373494, 92.7710843373494, 85.22727272727273, 86.20689655172414, 92.49249249249249, 86.20689655172414, 85.22727272727273, 85.22727272727273, 92.7710843373494, 92.21556886227545, 85.71428571428572, 
22, 92.38764044943821, 93.35590351248413, 95.08620689655173, 95.08620689655173, 87.33870967741936, 90.47619047619048, 94.21311125346999, 90.47619047619048, 87.33870967741936, 87.33870967741936, 95.08620689655173, 93.35590351248413, 88.87977020927369, 90.15748031496062, 90.51724137931035, 94.87951807228916, 94.87951807228916, 81.25, 89.375, 92.64705882352942, 89.375, 81.25, 81.25, 94.87951807228916, 90.51724137931035, 85.11904761904762, 
